L Amine Pressure (bar),L Amine Flow (t/d),L Amine Temp (°C),Heat Duty (GJ/h),CMDEA (wt.%),CPZ (wt.%),,,SG CO2 (ppm),RAL (),LAL (),SG MDEA Flow (t/d),SG PZ Flow (t/d),SG CO2 Flow (t/d),RA C5 Flow (t/d),RA HCO3 Flow (t/d)
60,3500,40,50.4,49.5,0.5,,,1245.962569,0.4711836136,0.00190030505,0.00001870004168,0.000002270121554,31.0512277,0.04017852163,283.3667057
63.75,3500,40,50.4,49.5,0.5,,,1245.939127,0.4711844581,0.00190030505,0.00001857658623,0.000002251327437,31.05064299,0.04017869599,283.3626004
67.5,3500,40,50.4,49.5,0.5,,,1245.509364,0.4712009304,0.00190030505,0.00001845996011,0.000002233115586,31.03991966,0.04017695125,283.3669702
71.25,3500,40,50.4,49.5,0.5,,,1245.035596,0.4712190952,0.00190030505,0.00001834623774,0.000002215387641,31.02809834,0.04017496313,283.3723366
75,3500,40,50.4,49.5,0.5,,,1244.558073,0.4712374042,0.00190030505,0.00001823491168,0.000002198012752,31.01618332,0.04017295526,283.377783
60,3700,40,50.4,49.5,0.5,,,1101.147825,0.4511563266,0.001971543461,0.00001970758523,0.000002763124942,27.43766632,0.04476650758,288.5962321
63.75,3700,40,50.4,49.5,0.5,,,1100.896844,0.4511653966,0.001971543461,0.00001958530959,0.000002741450302,27.4314059,0.0447655481,288.5975489
67.5,3700,40,50.4,49.5,0.5,,,1100.419902,0.4511826853,0.001971543461,0.00001946851384,0.000002720019755,27.419509,0.04476361249,288.6030304
71.25,3700,40,50.4,49.5,0.5,,,1099.923297,0.451200689,0.001971543461,0.00001935446243,0.000002699081962,27.40712163,0.04476155097,288.6089238
75,3700,40,50.4,49.5,0.5,,,1099.425946,0.4512187197,0.001971543461,0.00001924284253,0.000002678555501,27.39471567,0.04475948472,288.6148246
60,3900,40,50.4,49.5,0.5,,,971.1263378,0.4326788475,0.002043090498,0.00002086838046,0.000003366563317,24.19420679,0.04953144747,293.705157
