Predicted Value,Expected Value
926133.396364,926134.9142
926126.984837,926127.181
926119.197771,926120.481
926128.23517,926128.1512
926129.751684,926129.6389
926131.396861,926131.6017
926130.996186,926130.8614
926128.467078,926128.338
926128.396359,926128.0807
926131.980225,926133.4695
926123.706857,926124.6215
926131.664802,926131.5569
926130.888757,926130.7455
926133.348924,926135.193
926129.119568,926129.0227
926123.809052,926124.6933
926134.149884,926136.3133
926124.048298,926123.975
926133.217391,926133.6651
926125.676575,926126.1243
926129.789819,926129.6547
926128.24738,926128.0671
926123.268472,926122.8916
926130.092221,926130.2002
926122.289005,926123.6143
926123.072245,926123.9989
926122.229459,926123.1213
926119.606084,926118.6753
926127.521718,926127.6352
926131.153793,926131.1787
926127.689493,926128.3271
926129.401582,926129.3192
926127.78972,926127.6656
926124.765164,926125.4205
926126.921225,926127.1171
926128.446388,926128.3639
926122.979078,926123.3064
926123.430212,926123.1862
926131.964092,926131.8443
926124.832638,926124.9026
926122.271008,926122.4978
926128.326748,926128.2439
926130.944021,926130.8975
926133.980215,926134.837
926131.80176,926133.1018
926128.320089,926128.0099
926127.509824,926127.386
926120.451069,926121.3263
926125.681038,926125.8665
926134.563579,926137.2298
926126.53225,926126.6191
926125.01088,926125.5286
926129.983198,926129.3609
926124.291923,926124.5555
926133.750409,926135.5736
926126.404887,926126.612
926127.111753,926127.6249
926127.364278,926127.8139
926129.995408,926129.262
926125.770042,926125.8665
926128.827014,926128.8191
926121.694472,926120.7518
926122.855645,926123.9055
926134.181191,926134.4052
926121.644995,926122.8288
926126.111861,926126.0194
926128.080978,926128.2871
926134.155266,926134.4047
926123.987517,926124.7776
926129.205686,926129.4463
926129.998977,926130.2285
926126.495636,926126.689
926132.666779,926134.2331
926119.80706,926120.4373
926123.937306,926123.296
926127.59116,926127.6604
926132.254057,926131.8285
926120.307325,926121.9164
926134.206121,926134.8229
926129.781023,926129.5311
926133.78513,926134.1541
926128.830428,926128.689
926129.342602,926129.1098
926124.243891,926123.5871
926131.338183,926130.7324
926131.046216,926130.968
926132.037457,926131.5924
926134.151852,926134.287
926127.045483,926127.6551
926128.093188,926128.3331
926131.402243,926130.8644
926124.456476,926124.983
926132.736221,926132.6065
926125.425322,926125.4991
926130.083727,926129.9561
926127.577298,926127.945
926123.609777,926123.8317
926131.498046,926131.5751
926128.119113,926128.3442
926120.82663,926121.5907
926134.633021,926134.9339
926122.139474,926122.8606
926124.389002,926125.0908
926127.568649,926127.5112
926125.233988,926126.0344
926127.181195,926127.0651
926126.924639,926127.0587
926132.129845,926132.2827
926123.907454,926124.6817
926124.797917,926124.3423
926131.428168,926130.9471
926124.727029,926125.417
926120.411835,926120.566
926127.64674,926127.3529
926123.61406,926124.7186
926128.974172,926128.9424
926125.176756,926125.4958
926130.915183,926130.7
926125.862694,926126.0165
926124.248672,926124.9914
926132.343533,926132.052
926124.857961,926125.2695
926126.222251,926126.2448
926124.631906,926125.5019
926128.579442,926128.7361
926128.506207,926128.5121
926132.296093,926132.1297
926130.982156,926130.9412
926123.634602,926123.3667
926122.89378,926123.9062
926122.369789,926123.2346
926129.559188,926129.5381
926131.48585,926132.6907
926130.883375,926131.4095
926131.075871,926131.6411
926125.058558,926125.2681
926129.08995,926129.1308
926134.125928,926134.2259
926122.75345,926123.8057
926123.448037,926123.3606
926130.079502,926129.9825
926131.58803,926131.633
926124.875287,926124.7018
926133.405647,926133.416
926123.916251,926124.8645
926127.829823,926128.4143
926127.057694,926127.5938
926126.047801,926125.9291
926123.923457,926124.7234
926128.280133,926128.2301
926124.799016,926124.6737
926130.165063,926130.1906
926129.52957,926129.6867
926125.581655,926125.8268
926127.590712,926127.8106
926126.481158,926126.6389
926125.352186,926126.0718
926134.330318,926134.4509
926135.16604,926136.2092
926129.597492,926129.9303
926130.113066,926130.5132
926134.761141,926135.1239
926128.979407,926129.2764
926127.840513,926127.8842
926128.87335,926128.9264
926126.532628,926126.6076
926129.690722,926129.4735
926129.111088,926128.9079
926135.43449,926136.5603
926125.922961,926126.0614
926132.700992,926132.7971
926131.058426,926131.0318
926126.833061,926126.7757
926130.800291,926130.7497
926123.017213,926123.3117
926121.767328,926121.8186
926130.177442,926130.5243
926121.907951,926123.6624
926132.126932,926131.8776
926124.939347,926124.7912
926132.095626,926132.5116
926124.155875,926125.3764
926134.023733,926134.0798
926124.013577,926123.3226
926132.704914,926134.3412
926128.404391,926128.3666
926129.960841,926130.1574
926120.715638,926120.9352
926132.713711,926133.2233
926127.650154,926127.5259
926120.306225,926121.518
926134.627639,926137.2265
926129.521053,926129.5212
926128.468072,926128.4705
926134.764555,926135.7995
926119.462339,926120.014
926128.984341,926128.9992
926126.50753,926126.8593
926126.50329,926126.7757
926134.837411,926135.2231
926128.238136,926128.2242
926123.651327,926123.2572
926120.842658,926120.4497
926121.661719,926122.4322
926124.290221,926124.8418
926126.574178,926126.6267
926119.866606,926120.7095
