Predicted Value,Expected Value
926128.616329,926128.8509
926126.622033,926126.4787
926125.331166,926125.5358
926125.418769,926124.7912
926129.951553,926129.8938
926123.846934,926123.09
926124.14872,926125.0738
926123.214169,926122.0389
926130.487204,926130.2562
926126.960549,926127.2108
926120.138308,926120.4391
926130.496715,926130.2421
926128.981294,926128.988
926133.241597,926132.6917
926131.871416,926132.3139
926126.024225,926126.256
926128.712582,926128.2281
926123.345268,926123.1866
926123.560312,926124.4343
926133.289723,926132.6073
926122.106297,926123.125
926128.963385,926128.6456
926122.62953,926121.8412
926123.266064,926124.0739
926125.331166,926125.5286
926127.109558,926126.9659
926122.106297,926123.1225
926130.017588,926129.6521
926123.881781,926123.0282
926123.981802,926124.5966
926133.979874,926134.1553
926126.674789,926126.5266
926133.044462,926134.1275
926131.418848,926130.9217
926134.344839,926134.8691
926133.909209,926133.2969
926124.750296,926125.1071
926130.386322,926129.9757
926127.724414,926127.1202
926129.697032,926129.1404
926124.531594,926125.3274
926127.039754,926126.8205
926123.964754,926123.3834
926127.988445,926128.3504
926119.883787,926120.9429
926132.473102,926131.9188
926127.074711,926127.0587
926127.35568,926127.3271
926131.835708,926130.8644
926127.175593,926127.1219
926123.257665,926124.1058
926124.500405,926124.7593
926133.289723,926132.5537
926127.324602,926127.2754
926125.13317,926125.4677
926124.553161,926124.8742
926125.067135,926125.0709
926131.203804,926131.3953
926128.576852,926128.3725
926122.778539,926122.6091
926125.989268,926125.8365
926124.615428,926124.0725
926123.446151,926123.3178
926132.459823,926133.267
926121.856406,926122.17
926125.13317,926125.4577
926127.795079,926127.6352
926122.023324,926122.7231
926127.729043,926127.8443
926122.796448,926122.0967
926122.690936,926123.5062
926120.622064,926120.4302
926132.92567,926133.6693
926131.352812,926130.9053
926126.590954,926126.531
926124.562672,926124.658
926123.112425,926124.0077
926133.694165,926134.7455
926131.739455,926131.4884
926121.390559,926121.6426
926124.447649,926124.7643
926128.778617,926128.5297
926128.61256,926128.371
926128.712582,926128.2063
926121.456594,926121.9074
926121.23692,926122.1694
926135.732819,926137.8401
926128.010123,926127.8714
926128.563573,926128.32
926131.466974,926131.1787
926131.168957,926130.9515
926129.767697,926129.8391
926126.635312,926127.0469
926134.344839,926134.7903
926133.707444,926133.089
926130.381692,926129.262
926124.044069,926124.7177
926129.71408,926128.8598
926127.790449,926127.5683
926131.620664,926130.83
926118.649446,926118.8637
926126.420268,926126.2448
926123.112425,926124.0241
926132.542797,926132.952
926130.399601,926129.717
926131.154816,926130.5762
926127.887562,926128.2419
926126.051534,926125.7666
926122.207179,926123.2309
926129.244464,926128.9488
926127.109558,926126.9964
926126.573906,926126.5347
926122.524018,926122.8591
926131.937451,926131.7759
926119.518822,926120.4871
926121.443315,926120.6899
926124.078916,926124.3554
926125.787503,926125.6261
926125.432049,926125.6349
926120.771073,926121.6441
926124.667323,926125.191
926131.985577,926131.6562
926122.593822,926123.9824
926129.398103,926128.9533
926127.742323,926127.4482
926121.539567,926122.5408
926129.349115,926128.7715
926130.518283,926130.4276
926134.32693,926134.3002
926127.839436,926127.8241
926120.652282,926121.7713
926129.078408,926128.9522
926126.739963,926126.7095
926132.560706,926133.5944
926128.027061,926127.4742
926126.573906,926126.5056
926126.002547,926126.1364
926126.691837,926126.6499
926119.41794,926120.3585
926127.359449,926127.006
926124.751157,926124.0654
926125.199206,926125.8453
926130.535331,926129.6274
926128.111005,926127.9615
926127.21044,926127.1229
926133.342479,926132.7921
926126.67102,926126.0523
926125.801643,926125.0094
926131.893094,926132.9381
926133.975244,926133.4888
926120.507903,926118.5683
926128.616329,926128.7399
926127.074711,926127.0168
926131.203804,926131.4714
926130.549471,926130.1261
926121.742244,926121.0717
926133.092588,926133.017
926132.438255,926131.8719
926125.151079,926125.5286
926129.763068,926129.2321
926127.975166,926127.7438
926124.417432,926124.8259
926119.216175,926120.0602
926127.426345,926127.1424
926125.321656,926125.4381
926130.799362,926130.4701
926125.770565,926125.8179
926126.455225,926126.6584
926130.733327,926130.1538
926122.594683,926121.8891
926125.769704,926126.0434
926125.901665,926126.0396
926126.007177,926126.0554
926123.982663,926123.1537
926125.181296,926125.7624
926128.093957,926127.7815
926129.147351,926128.5161
926124.465558,926125.0205
926132.354311,926131.3287
926123.982663,926123.1413
926124.096825,926124.041
926134.58145,926135.9925
926135.732819,926138.14
926127.676287,926127.3289
926134.344839,926134.6379
926131.792211,926132.5463
926123.797946,926124.5609
926134.498477,926136.4787
926123.995942,926123.9553
926128.61256,926128.2963
926125.787503,926125.686
926127.057663,926126.9633
926122.027092,926123.6726
926124.048698,926123.2946
926127.408436,926127.2072
926122.225088,926122.9249
926129.951553,926130.0981
926128.427844,926128.1188
926124.549393,926123.8316
926133.057741,926132.6603
926132.424976,926132.4163
926127.993075,926127.7408
926127.407575,926127.1019
926119.989299,926118.8217
926129.380194,926128.7724
926128.580621,926128.2241
926121.957288,926122.3093
926133.325431,926134.0468
926134.546603,926134.9438
926121.425406,926121.3685
926124.601288,926124.8732
926134.743738,926134.3596
926131.119969,926130.4914
926131.752734,926131.0782
926125.1378,926125.336
926121.37265,926121.8918
926120.103461,926120.5884
926126.65699,926126.7963
926133.127435,926133.9682
926131.686699,926130.9085
926122.062801,926120.7548
926134.379686,926135.8665
926129.933754,926129.4211
926124.720079,926125.0343
926119.268931,926118.7446
926134.647486,926135.1957
926125.387691,926125.5345
926129.178429,926128.5886
926134.493847,926134.2452
926121.324523,926121.2323
926132.358941,926133.2484
926129.920475,926129.7058
926122.444813,926123.6543
926135.934583,926138.5542
926124.351397,926124.6572
926119.518822,926120.481
926126.469255,926125.7923
926128.313682,926128.484
926133.20675,926132.7556
926131.853617,926131.1593
926124.130811,926124.945
926133.246227,926134.5471
926123.275574,926123.807
926122.74746,926123.8681
926129.02942,926128.5566
926130.496715,926130.2074
926128.681503,926128.3026
926130.632444,926130.0882
926122.910609,926123.2169
926122.475892,926122.2247
926124.130811,926124.9539
926132.456054,926133.1448
926119.888417,926118.6773
926123.415072,926124.2737
926127.122837,926127.0914
926130.751236,926130.2953
926132.674867,926132.1076
926128.027922,926127.8252
926134.379686,926136.1413
926135.315098,926135.9902
926133.175561,926132.8819
926128.027922,926127.7888
926122.62953,926121.8507
926121.23692,926122.1702
926135.060577,926134.8369
926130.597597,926130.2842
926127.826157,926127.5877
926123.947816,926123.2003
926131.787581,926130.9714
926129.867719,926129.1862
926134.498477,926136.2207
926133.712074,926135.0715
926128.511678,926128.223
926123.986432,926124.5417
926120.085552,926121.2253
926125.300088,926125.9385
926129.231185,926128.8497
926119.787535,926118.5034
926125.769704,926126.0207
926121.074632,926120.0946
926123.262295,926122.838
926121.944009,926121.3495
926129.082176,926129.1542
926129.920475,926129.8597
926127.359449,926127.0252
926127.223719,926127.1824
926120.507903,926118.5584
926131.954499,926131.3335
926134.32693,926134.3761
926133.390605,926132.6869
926122.6249,926122.9966
926124.514546,926123.9599
926128.479739,926128.1354
926128.427844,926128.2145
926131.835708,926130.8879
926125.286809,926125.4617
926130.400462,926130.0428
926129.86858,926129.9182
926122.694704,926124.051
926133.725353,926133.364
926131.164327,926130.9308
926125.282179,926125.8586
926129.714941,926129.4363
926125.906294,926125.9801
926124.667323,926125.1708
926131.572537,926132.2491
926119.369814,926118.8991
