Predicted Value,Expected Value
926125.1309,926125.1031
926127.7888,926127.8252
926129.6648,926129.7556
926130.0403,926129.9976
926120.9418,926120.9382
926133.9682,926134.0848
926126.9221,926126.891
926129.6648,926129.7154
926118.6766,926118.6753
926122.0891,926122.0747
926134.3998,926134.3266
926132.9684,926132.887
926129.5467,926129.5212
926122.845625,926122.8286
926121.6441,926121.6427
926122.03076,926122.0204
926123.0973,926123.09
926131.5706,926131.5315
926126.5504,926126.5309
926128.1174,926128.0445
926128.7187,926128.6643
926118.4061,926118.4153
926127.1454,926127.1323
926128.1174,926128.0807
926123.8057,926123.807
926128.2893,926128.2692
926122.43215,926122.432
926124.4752,926124.4629
926121.9555,926121.9553
926123.8057,926123.8081
926139.2434,926139.0516
926134.1868,926134.0261
926130.0681,926130.0273
926125.0805,926125.0843
926121.767967,926121.7577
926125.7169,926125.6555
926121.91066,926121.9074
926131.8511,926131.7712
926132.9574,926132.8909
926130.8702,926130.9085
926133.267,926133.3768
926131.0049,926130.8796
926121.32625,926121.3269
926125.9888,926126.0072
926123.703,926123.7294
926126.5504,926126.5707
926130.4448,926130.2912
926131.4801,926131.4343
926126.3779,926126.3698
926124.639167,926124.6421
926120.21975,926120.2152
926127.8439,926127.8437
926129.5317,926129.5581
926128.5939,926128.5566
926128.4635,926128.5781
926127.0243,926126.9357
926130.4997,926130.4276
926124.1335,926124.1491
926124.4024,926124.3939
926129.2378,926129.1974
926134.7903,926134.9942
926130.3019,926130.2285
926123.2328,926123.2318
926129.6052,926129.5706
926131.5381,926131.6357
926124.8917,926124.9048
926126.5576,926126.5266
926131.4095,926131.3393
926132.6511,926132.6202
926120.7523,926120.7518
926124.4541,926124.4476
926127.93,926127.9147
926126.9931,926126.9617
926122.375833,926122.3664
926129.5969,926129.5536
926130.6163,926130.4632
926132.5606,926132.5902
926125.52865,926125.5286
926132.8922,926132.8611
926127.1304,926127.1171
926133.3246,926133.3573
926132.0334,926131.9312
926129.1699,926129.2383
926130.8082,926130.7497
926128.5661,926128.5942
926123.0536,926122.9276
926129.1088,926129.0932
926127.7088,926127.6406
926131.0049,926130.8964
926131.4699,926131.3547
926123.518333,926123.5062
926138.14,926137.9798
926136.3731,926136.2521
926133.6683,926133.7386
926127.02275,926127.0401
926129.1699,926129.0561
926127.4537,926127.3525
926130.6572,926130.611
926128.2479,926128.1374
926131.2447,926131.366
926125.7169,926125.6261
926133.244,926133.1566
926126.4613,926126.4927
926132.2797,926132.2546
926129.7414,926129.7254
926135.3348,926135.2841
926127.0469,926127.0531
926127.7088,926127.6743
926121.515633,926121.5146
926122.6812,926122.6481
926125.040133,926125.0094
926130.4085,926130.3341
926129.7656,926129.6973
926133.752,926133.6673
926133.5698,926133.5222
926130.6692,926130.5797
926122.3074,926122.311
926123.9473,926123.9344
926125.5352,926125.5434
926127.4482,926127.4026
926118.703467,926118.7098
926125.855267,926125.8495
926135.0363,926134.9438
926128.4142,926128.3925
926132.44255,926132.4039
926118.56455,926118.5645
926127.9692,926127.9971
926122.93505,926122.9345
926127.6707,926127.6493
926129.1098,926129.0776
926127.3046,926127.2566
926130.0497,926129.9892
926128.8411,926128.8191
926127.8869,926127.851
926123.8565,926123.8526
926125.4654,926125.4928
926129.71435,926129.6877
926128.2439,926128.2726
926118.89335,926118.8991
926126.639,926126.5626
926131.2172,926131.2905
926127.02275,926127.0059
926135.3348,926135.2347
926131.5271,926131.3827
926131.8314,926131.7371
926125.2847,926125.252
926128.9155,926128.8747
926127.9379,926127.9168
926122.30925,926122.308
926123.880833,926123.8837
926126.055633,926126.0478
926126.1425,926126.1308
926128.67035,926128.649
926125.0108,926124.9914
926122.03076,926122.0192
926121.9212,926121.9435
926131.4428,926131.3498
926126.639,926126.6316
926124.465,926124.4419
926138.8932,926138.728
926129.0924,926129.1734
926120.697543,926120.708
926126.0523,926126.0355
926127.5685,926127.6255
926119.147367,926119.1509
926127.7331,926127.6435
926118.56455,926118.5584
926123.4021,926123.429
926126.212,926126.2017
926128.6902,926128.5377
926122.936486,926122.95
926125.37465,926125.4204
926128.842,926128.7582
926127.7088,926127.7443
926131.4374,926131.5149
926122.30925,926122.308
926126.7657,926126.7518
926135.1239,926135.0761
926126.13315,926126.1601
926126.9931,926127.0253
926132.7243,926132.664
926130.46405,926130.428
926121.80765,926121.8074
926118.89335,926118.9032
926124.459267,926124.4505
926126.6401,926126.5927
926134.7903,926134.8691
926132.8072,926132.8736
926125.5352,926125.5274
926132.3539,926132.2886
926134.6197,926134.6976
926132.1099,926132.1967
926125.897,926125.9199
926133.3544,926133.3242
926128.9664,926128.9264
926124.4408,926124.434
926130.7169,926130.7455
926123.667367,926123.6577
926129.8728,926129.8284
926129.2562,926129.2321
926127.0993,926127.0439
926123.2361,926123.2333
926126.6016,926126.5799
926128.4004,926128.2871
926124.4297,926124.4164
926130.817,926130.8458
926128.7495,926128.7282
926133.752,926133.6195
926126.1931,926126.228
926126.55375,926126.531
926125.5561,926125.5495
926127.9557,926127.9037
926129.1908,926129.0958
926123.0283,926122.8916
926123.046033,926123.0501
926128.0584,926128.0247
926129.3771,926129.416
926131.5493,926131.612
926128.3762,926128.3138
926127.6733,926127.6604
926120.4267,926120.4048
926129.1056,926129.046
926123.3855,926123.3863
926134.9306,926134.8117
926128.2818,926128.2241
926121.682771,926121.6816
926124.5659,926124.5417
926131.7759,926131.7269
926135.0715,926135.1952
926123.8222,926123.813
926121.3669,926121.3495
926118.8336,926118.8352
926125.5083,926125.5681
926122.2662,926122.1556
926125.068,926125.0738
926126.2279,926126.2157
926134.1553,926134.2274
926133.3544,926133.4768
926124.75645,926124.7505
926125.9888,926125.9711
926126.0452,926126.0397
926127.5898,926127.5938
926120.4304,926120.4483
926124.8995,926124.9249
926125.6434,926125.6663
926129.1542,926129.2495
926134.3478,926134.287
926126.85872,926126.7963
926126.9966,926126.9633
926139.2434,926138.9167
926125.7698,926125.758
926126.3584,926126.3772
926125.9291,926125.9466
926129.2397,926129.2164
926130.111,926130.0735
926128.6902,926128.5931
926125.69985,926125.7261
926124.6906,926124.6817
926120.697543,926120.6847
926132.3539,926132.2249
926128.5171,926128.4031
926131.429,926131.4884
926129.7856,926129.7673
926128.0882,926128.143
926128.3024,926128.287
926129.0406,926129.0789
926128.9536,926128.9533
926123.8458,926123.8492
926132.4806,926132.4163
926123.975067,926123.9781
926126.288833,926126.2808
926124.566,926124.5512
926120.9098,926120.9096
926130.8149,926130.8601
926122.2088,926122.2089
926123.3855,926123.3859
926127.0869,926127.1424
926124.811467,926124.8133
926126.4594,926126.4785
926131.1612,926131.1787
926124.7726,926124.7812
926122.2662,926122.2564
926125.7169,926125.686
926128.3346,926128.3504
926127.4189,926127.4527
926127.5648,926127.586
926130.5493,926130.5251
926121.7948,926121.7867
926122.7731,926122.7951
926122.30925,926122.3104
926130.6827,926130.76
926130.8528,926130.808
926124.2567,926124.2671
926124.82195,926124.7319
926123.134,926123.1334
926128.56795,926128.4396
926128.5661,926128.5659
926132.8857,926132.8405
926131.5271,926131.4981
926134.0451,926133.972
926128.272,926128.2573
926135.0715,926134.9503
926123.87645,926123.8764
926121.0943,926121.0981
926128.6767,926128.7001
926133.5962,926133.4828
926120.3585,926120.309
926124.4752,926124.4686
926134.7903,926134.9147
926123.30905,926123.3012
926137.6823,926137.8287
926125.5352,926125.5517
926136.4679,926136.3277
926130.5296,926130.4914
926127.73875,926127.7162
926131.8511,926131.824
926131.1612,926131.1964
926123.309,926123.3367
926129.6533,926129.6354
926125.9364,926125.9317
926125.2707,926125.2549
926128.8113,926128.8497
926126.3527,926126.4151
926131.1612,926131.2147
926122.723,926122.7229
926122.61605,926122.6063
926135.5338,926135.4534
926134.4047,926134.3563
926124.5866,926124.5722
926127.7815,926127.8044
926131.081,926130.97
926130.2669,926130.2953
926124.0482,926124.0524
926124.05555,926124.0644
926128.5121,926128.4705
926122.6812,926122.6586
926118.5785,926118.5717
926128.751,926128.7361
926135.3348,926135.1864
926127.7032,926127.746
926122.5408,926122.5331
926123.9919,926123.9632
926121.7984,926121.7992
926130.1021,926130.0683
926128.4142,926128.4364
926129.8633,926129.9592
926126.3206,926126.3124
926132.2235,926132.2996
926128.4143,926128.4221
926127.591,926127.6702
926128.3919,926128.3061
926120.02282,926120.068
926124.82195,926124.7066
926130.2483,926130.2907
926133.3849,926133.3405
926137.22815,926137.0864
926124.4956,926124.5185
926136.2973,926136.3793
926122.0674,926122.0595
926128.3725,926128.3573
926128.2976,926128.2599
926123.106367,926123.0838
926138.2978,926138.4348
926127.6097,926127.546
926134.2113,926134.3323
926130.2007,926130.146
926128.035567,926128.0637
926127.5684,926127.5945
926127.2153,926127.1824
926133.1636,926133.1215
926126.2039,926126.1924
926124.36915,926124.4041
926132.2085,926132.16
926139.2434,926139.2132
926124.8628,926124.8554
926128.2672,926128.3461
926132.1763,926132.1129
926128.45525,926128.4319
926129.0075,926129.0799
926130.5573,926130.4042
926132.442,926132.3998
926128.8405,926128.7734
926123.1765,926123.1747
926130.4997,926130.3468
926121.217063,926121.2294
926124.2417,926124.2306
926129.6521,926129.693
926127.5259,926127.4603
926132.4099,926132.3161
926135.9902,926135.906
926132.4122,926132.3074
926132.0516,926132.0205
926128.4596,926128.4361
926134.1369,926134.1659
926129.7917,926129.8597
926126.6584,926126.6456
926120.575167,926120.5906
926122.6147,926122.6091
926129.2761,926129.372
926126.4712,926126.5656
926124.4408,926124.4338
926127.5285,926127.4824
926126.0095,926125.9801
926131.1705,926131.2699
926118.7368,926118.7403
926132.4374,926132.3712
926123.0283,926122.9142
926124.4408,926124.462
926124.8783,926124.7683
926129.0036,926129.034
926118.8217,926118.8156
926127.8366,926127.9478
926120.4443,926120.4516
926129.3962,926129.3573
926129.7856,926129.7495
926126.7238,926126.7374
926136.6072,926136.6942
926127.816,926127.782
926123.2361,926123.2346
926126.6253,926126.612
926126.95395,926126.9539
926120.4304,926120.4497
926127.5441,926127.5216
926128.13015,926128.1653
926131.7128,926131.6544
926126.85872,926126.8094
926124.3353,926124.3552
926128.8411,926128.8639
926132.7144,926132.6869
926127.3289,926127.2957
926128.371,926128.3332
926132.6416,926132.5463
926126.0165,926125.9972
926122.3948,926122.3844
926128.0544,926128.076
926136.1413,926135.9752
926128.3525,926128.2903
926132.7048,926132.6603
926130.2007,926130.1731
926135.1022,926135.0221
926123.9919,926123.977
926127.34655,926127.3703
926127.2284,926127.2213
926137.9876,926138.123
926133.6387,926133.5777
926126.5347,926126.5056
926126.5294,926126.5108
926120.53505,926120.5457
926122.6812,926122.6694
926124.566,926124.5418
926126.7,926126.6708
926129.374,926129.3973
926126.9161,926126.9351
926127.0449,926127.0252
926120.298556,926120.3099
926122.7731,926122.7729
926129.9872,926130.0409
926127.4305,926127.4182
926120.697543,926120.6859
926135.0417,926134.9932
926125.2847,926125.2681
926133.2945,926133.416
926132.5969,926132.5317
926122.06635,926122.0496
926121.7496,926121.7713
926134.2259,926134.1956
926128.3287,926128.3639
926118.4061,926118.4111
926120.4443,926120.4371
926135.1801,926135.3225
926127.621,926127.555
926132.4122,926132.2491
926124.0482,926124.0445
926131.6262,926131.6562
926129.7656,926129.8219
926128.4142,926128.4591
926131.6819,926131.7844
926134.0186,926134.0932
926126.0019,926126.0161
926134.1253,926134.1999
926124.7676,926124.7579
926129.4998,926129.4735
926123.9599,926123.9673
926129.446,926129.4211
926137.22815,926137.3712
926120.5548,926120.5629
926124.0158,926124.0077
926126.4161,926126.3964
926127.1207,926127.0652
926132.9147,926132.9602
926125.8268,926125.7979
926128.2439,926128.2205
926134.0418,926133.9259
926126.0019,926126.0088
926121.767967,926121.806
926134.453,926134.4052
926125.75425,926125.7753
926126.4712,926126.501
926132.4522,926132.5794
926126.4063,926126.4176
926123.407,926123.4047
926122.43215,926122.4339
926126.9966,926126.9304
926128.56795,926128.4606
926136.14,926136.2607
926123.6455,926123.6291
926130.3809,926130.3201
926129.8741,926129.8359
926126.3398,926126.3215
926134.3011,926134.3769
926121.936,926121.9283
926125.5083,926125.5342
926126.0779,926126.0583
926126.6979,926126.6842
926123.6142,926123.6141
926124.3893,926124.3601
926124.115686,926124.1044
926126.28745,926126.2694
926127.4846,926127.4539
926125.5688,926125.5516
926125.35565,926125.3806
926129.8633,926129.7983
926127.7339,926127.682
926135.8835,926135.7995
926123.154,926123.1291
926129.54375,926129.5063
926137.0691,926137.1717
926121.5837,926121.5639
926134.8229,926134.7444
926125.6613,926125.653
926123.87645,926123.8955
926127.4305,926127.4062
926121.9005,926121.9142
926126.8736,926126.8286
926128.9155,926128.8351
926122.8565,926122.8288
926123.289967,926123.2946
926124.0802,926124.0886
926126.7523,926126.7861
926124.6906,926124.6955
926125.3759,926125.3764
926124.34512,926124.3601
926125.068,926125.0796
926126.3527,926126.3829
926122.00862,926122.0189
926123.90725,926123.907
926124.4752,926124.4572
926127.0827,926127.0663
926125.0038,926124.9999
926120.21975,926120.2248
926127.1322,926127.099
926134.2113,926134.0938
926124.858667,926124.8556
926129.7856,926129.732
926126.0962,926126.1287
926131.081,926130.9471
926128.8214,926128.9058
926127.3935,926127.373
926128.1769,926128.1639
926125.35565,926125.3978
926124.05555,926124.0555
926126.0962,926126.1456
926128.1437,926128.1221
926121.7754,926121.7777
926121.0542,926121.0717
926124.996267,926125.0146
926122.999967,926122.9966
926132.7243,926132.6939
926134.1405,926134.2423
926130.3377,926130.2749
926125.3756,926125.3753
926131.1047,926131.1318
926133.2067,926133.2507
926129.0951,926129.1133
926124.7726,926124.7643
926129.5399,926129.5554
926130.4085,926130.3708
926130.2096,926130.1865
926123.4021,926123.4431
926122.169925,926122.1702
926132.137,926132.038
926124.92768,926124.8965
926124.562433,926124.5493
926121.3669,926121.3665
926127.2888,926127.3024
926130.6347,926130.5962
926121.377733,926121.3791
926125.0075,926124.983
926124.53555,926124.5322
926121.217063,926121.2253
926125.9292,926125.8975
926131.1857,926131.1593
926130.374,926130.3023
926125.75425,926125.7666
926132.3795,926132.3011
926124.7594,926124.6572
926128.2872,926128.1765
926127.2227,926127.1763
926132.7457,926132.8135
926122.2088,926122.2288
926122.43215,926122.431
926132.6611,926132.7278
926124.21185,926124.1903
926133.6387,926133.6079
926134.7776,926134.9142
926122.2761,926122.1775
926133.3246,926133.4695
926125.9291,926125.9127
926129.1004,926129.1404
926121.5729,926121.5638
926131.931,926131.904
926128.1174,926128.0099
926129.7929,926129.8371
926124.784133,926124.8942
926127.2032,926127.1699
926132.0193,926131.9779
926124.367167,926124.3586
926121.377733,926121.3721
926123.122943,926123.1256
926118.6766,926118.6789
926122.6147,926122.5994
926123.36635,926123.3958
926122.845625,926122.8288
926128.2818,926128.2036
926125.5561,926125.544
926129.0888,926129.0472
926124.4577,926124.4434
926120.575167,926120.5868
926121.767967,926121.756
926124.2738,926124.2909
926121.6266,926121.6215
926133.9812,926134.0524
926132.6433,926132.952
926127.4189,926127.386
926128.4375,926128.3994
926130.0623,926130.1148
926129.0924,926129.1948
926139.2434,926139.0775
926125.5674,926125.5776
926125.2454,926125.2737
926121.377733,926121.3734
926124.784133,926124.9026
926125.8931,926125.9111
926131.0094,926130.9714
926125.8653,926125.8585
926126.5683,926126.5485
926124.3893,926124.3458
926127.34655,926127.3464
926127.8029,926127.7973
926131.3665,926131.3287
926134.0679,926134.2052
926125.170867,926125.191
926130.9491,926130.8905
926123.9832,926123.975
926121.7948,926121.7904
926127.2153,926127.1953
926125.417033,926125.4104
926126.28745,926126.2577
926124.4408,926124.4592
926130.986,926130.9412
926131.04,926130.9308
926127.621,926127.5877
926121.217063,926121.2292
926127.4305,926127.4434
926133.3544,926133.4462
926127.7888,926127.8624
926132.3446,926132.2405
926132.3795,926132.4585
926124.3893,926124.3747
926132.2797,926132.3054
926126.43855,926126.4342
926128.6902,926128.6342
926125.3205,926125.3138
926124.5448,926124.5583
926123.639633,926123.6412
926131.081,926131.0578
926129.8633,926129.8938
926121.767967,926121.8099
926133.2654,926133.3865
926121.7948,926121.7832
926133.7388,926133.6651
926129.4558,926129.3551
926132.4375,926132.3883
926134.4604,926134.5677
926130.7095,926130.6869
926128.4307,926128.3447
