Predicted Value,Expected Value
926128.373532,926128.7399
926127.101511,926127.1019
926125.173721,926125.9951
926131.037736,926131.5626
926128.063379,926128.076
926129.555789,926129.114
926130.267258,926130.2842
926130.425033,926130.1538
926132.987543,926132.7144
926126.229458,926126.3829
926124.930438,926125.0709
926125.658304,926125.8734
926131.367522,926131.0094
926130.125276,926130.6154
926125.096693,926125.2847
926132.117628,926131.9902
926123.587267,926123.167
926131.558692,926131.4981
926126.260386,926126.2642
926133.523976,926134.0451
926133.434986,926133.5728
926133.947462,926134.0209
926130.931316,926131.2292
926127.108339,926127.1762
926128.672822,926128.988
926127.214773,926127.2072
926119.201185,926119.0347
926129.188731,926129.1624
926133.494637,926133.3849
926128.967344,926128.9336
926127.573884,926127.4603
926120.271504,926120.4302
926127.973567,926128.0637
926134.729834,926137.3475
926122.828852,926122.1556
926125.403791,926125.1526
926125.820766,926125.98
926135.169454,926137.9798
926128.481109,926128.2504
926133.537181,926133.6569
926125.131793,926125.9517
926127.449178,926127.8366
926128.617577,926128.751
926130.809073,926130.8796
926129.534273,926129.3973
926126.295486,926126.9539
926130.65488,926131.0997
926129.022476,926129.0246
926131.201776,926130.8905
926134.832029,926137.4512
926129.061059,926128.7001
926122.423841,926123.888
926131.520556,926131.4699
926128.851287,926129.2141
926120.847172,926120.4048
926129.555942,926129.2765
926126.038124,926126.4935
926124.965538,926125.7574
926131.626667,926131.5149
926124.567846,926125.4527
926134.215912,926134.3596
926120.992884,926121.8912
926121.060358,926121.3644
926123.340093,926124.5945
926122.692291,926124.1339
926133.963595,926134.475
926126.315351,926126.6854
926128.302196,926128.289
926131.610047,926131.2729
926132.337649,926133.1567
926123.682634,926124.4567
926127.116371,926127.0439
926134.08241,926134.9438
926124.654172,926124.776
926130.84184,926132.029
926131.175851,926130.83
926133.345002,926133.5047
926122.211462,926122.0839
926128.123352,926128.1374
926131.316181,926131.0685
926123.149615,926124.4338
926130.962623,926130.5493
926134.611019,926136.9527
926123.715653,926124.8415
926128.94962,926129.0074
926133.610037,926133.6079
926123.910868,926124.5413
926131.080937,926130.9217
926131.605475,926132.1663
926128.399604,926128.3881
926127.071029,926127.3271
926124.781312,926125.0768
926124.137302,926124.6572
926127.717628,926128.0882
926128.757572,926128.743
926132.028152,926131.9188
926129.213283,926128.9785
926132.10493,926132.2249
926124.593013,926124.9733
926124.010163,926123.9673
926130.326252,926130.2059
926131.348919,926131.963
926123.680932,926124.5609
926134.697081,926135.0417
926121.017709,926121.6409
926130.762156,926130.6926
926128.136389,926127.9379
926121.192761,926122.5391
926121.742503,926122.0717
926125.198888,926125.3806
926123.597455,926124.6354
926128.323334,926128.3573
926120.77177,926122.1728
926129.541912,926129.4531
926128.941419,926128.8639
926125.621312,926126.0434
926130.829932,926130.6968
926132.799773,926132.7243
926124.324942,926125.0108
926122.164299,926122.6286
926126.397681,926127.0531
926128.337365,926128.2563
926130.054086,926130.1455
926132.885348,926132.6073
926127.150714,926127.1526
926121.401197,926121.0717
926121.524803,926121.5727
926125.817352,926126.1364
926120.421731,926121.9104
926132.688295,926134.2052
926131.903955,926133.2484
926130.535255,926131.6357
926125.684229,926125.9111
926132.267263,926131.9969
926130.847208,926130.8964
926127.052311,926127.0037
926125.51032,926125.9711
926123.783127,926124.6408
926134.904885,926135.9902
926132.850627,926132.7358
926122.057822,926121.7089
926128.370118,926128.2944
926130.343528,926130.3187
926127.513238,926127.8971
926123.088393,926124.0314
926130.010871,926130.4112
926122.998409,926123.9004
926128.780399,926128.4142
926123.408802,926123.0282
926124.359663,926125.2992
926128.241998,926128.1945
926133.890739,926135.8665
926132.442355,926132.3558
926125.310258,926126.0452
926131.622751,926131.5684
926128.271337,926128.6643
926124.487783,926125.4691
926121.529317,926121.3578
926124.150493,926124.0802
926129.432078,926129.313
926128.592983,926128.399
926135.839389,926138.7584
926121.805756,926123.5856
926125.829941,926126.4947
926122.429335,926123.7119
926120.40952,926122.0416
926130.095621,926130.0428
926133.004163,926132.8922
926130.178283,926129.9029
926124.249274,926124.859
926129.737822,926130.0981
926123.779713,926124.9228
926123.358052,926123.1182
926126.94291,926127.159
926122.872369,926123.5304
926133.558697,926133.4553
926122.449766,926123.9736
926123.703064,926124.5014
926121.550728,926121.6943
926130.689601,926130.5248
926119.526399,926120.1695
926129.801713,926129.7053
926124.044884,926124.6545
926126.793405,926126.7861
926131.798346,926131.8371
926124.721646,926124.3119
926118.8946,926118.5679
926128.264061,926128.2663
926130.449137,926130.2289
926123.735817,926124.4419
926133.153839,926134.4903
926126.213454,926126.3491
926127.636123,926127.7331
926124.239497,926124.7594
926135.204175,926136.293
926131.406166,926131.1744
926128.463664,926128.4473
926125.400377,926125.653
926134.133264,926136.2607
926124.417962,926124.8995
926126.359545,926127.0469
926130.284703,926130.0371
926125.501971,926125.736
926124.248293,926124.6639
926124.555257,926125.2312
926127.86599,926127.7349
926122.376909,926123.7173
926129.614768,926129.3867
926125.932136,926126.5763
926131.550397,926131.4336
926126.767033,926127.3046
926130.761647,926130.5296
926132.675074,926133.694
926124.358297,926123.629
926131.336215,926132.7303
926129.291748,926129.1937
926127.087032,926127.2569
926127.785927,926127.7888
926129.636468,926129.4719
926122.953153,926123.2022
926130.440341,926130.2954
926123.243647,926123.0838
926132.668747,926132.4039
926134.257461,926134.5017
926131.91326,926132.8083
926126.43499,926126.5578
926125.81773,926126.5561
926128.903453,926129.0561
926126.32786,926126.44
926128.165574,926128.1782
926131.099581,926130.7123
926121.022223,926121.361
926121.078355,926122.5421
926122.718729,926122.9762
926121.095079,926122.0196
926119.593873,926118.8363
926122.965768,926123.0375
926131.440378,926130.8879
926122.863573,926122.9366
926130.979243,926130.7443
926126.942084,926127.0243
926129.919138,926129.2219
926121.490082,926120.5383
926121.652923,926121.806
926127.658186,926127.6255
926129.702932,926129.4889
926121.687644,926122.5384
926126.929874,926127.0304
926129.576633,926129.3619
926128.343745,926128.3362
926124.551464,926125.0887
926121.882026,926123.5957
926121.516007,926120.6486
926134.047689,926136.2207
926132.518626,926132.4888
926122.634358,926122.9159
926134.691699,926137.2062
926128.255558,926128.2818
926122.953445,926124.2547
926133.37434,926134.1253
926118.489701,926119.0019
926132.781185,926134.5677
926126.464776,926126.4787
926127.734904,926127.6707
926127.078236,926127.023
926120.179206,926121.6179
926125.083736,926125.8653
926123.516379,926124.2503
926123.029716,926124.2629
926129.640693,926129.4273
926132.621307,926132.5606
926131.15775,926132.4099
926125.207616,926125.8911
926128.340331,926128.3123
926127.6616,926127.6125
926124.077637,926123.4153
926132.955735,926134.1406
926132.981659,926134.0468
926125.641922,926125.7169
926121.055844,926121.6426
926126.073726,926126.0035
926132.847213,926132.5802
926121.085183,926120.6899
926123.055348,926123.3178
926129.530018,926129.2378
926127.72566,926127.6419
926124.452683,926124.8732
926120.885307,926120.4116
926130.569976,926130.4632
926123.767124,926124.588
926132.41392,926133.3329
926129.720377,926129.6176
926125.893175,926126.256
926122.130678,926122.3709
926119.62408,926120.4589
926125.129825,926125.4822
926121.013195,926121.798
926126.355306,926126.592
926124.129082,926123.8583
926119.124915,926119.0416
926127.559853,926127.667
926125.199267,926125.7126
926121.03912,926121.9074
926122.428235,926123.135
926130.727737,926130.5669
926127.192641,926127.0869
926125.263461,926125.0244
926126.988251,926126.9543
926124.487404,926125.0051
926122.394614,926122.95
926128.063533,926128.0247
926124.892303,926125.0537
926122.637772,926122.3948
926129.687624,926129.5554
926124.746311,926125.5241
926128.979238,926128.9442
926129.517653,926129.0924
926123.131911,926124.3671
926129.093812,926129.4587
926119.503889,926118.5009
926122.732039,926123.4047
926127.594126,926127.5685
926122.190224,926122.7431
926130.941108,926130.7176
926132.952822,926132.8366
926123.53779,926124.7169
926124.605981,926125.4598
926131.459911,926131.527
926122.726657,926122.0389
926128.085217,926128.099
926121.217585,926122.0059
926122.555375,926123.813
926131.016877,926130.8753
926124.861977,926124.4243
926122.736553,926123.0586
926127.256701,926127.1207
926125.03984,926125.4204
926125.185931,926125.9457
926127.692529,926127.6509
926123.30158,926124.2824
926128.565859,926128.5137
926122.935329,926123.0896
926131.000758,926130.5739
926124.704383,926125.557
926121.427122,926121.2135
926120.434345,926121.759
926131.265327,926130.8702
926124.794503,926124.8942
926122.833134,926122.9867
926129.846282,926129.3597
926129.98123,926131.0105
926134.653564,926137.0691
926130.617903,926130.1865
926126.255382,926126.4011
926130.161663,926129.5358
926122.028483,926122.2293
926124.214553,926124.1677
926127.001587,926127.0667
926123.531427,926124.2639
926128.390808,926128.2903
926123.920043,926125.0057
926120.272604,926121.2006
926126.469711,926126.6266
926134.665774,926137.3712
926132.398288,926132.1983
926127.620815,926127.2768
926130.305393,926130.3012
