Predicted Value,Expected Value
926134.010091,926133.3684
926125.119891,926125.2181
926133.057741,926132.7971
926125.234053,926125.5473
926120.138308,926120.4371
926119.787535,926118.5052
926120.40702,926118.4079
926122.127975,926123.7435
926128.580621,926128.2672
926118.649446,926118.8699
926126.570138,926125.9291
926131.875185,926132.5794
926127.988445,926128.3271
926129.332067,926128.901
926127.829926,926127.9981
926122.576774,926122.3664
926131.10206,926129.9596
926124.44851,926123.6901
926120.551399,926121.6159
926121.23692,926122.1728
926133.360388,926132.9602
926121.856406,926122.1683
926129.244464,926128.9336
926130.316518,926130.3776
926133.022784,926133.6058
926129.714941,926129.3192
926122.005415,926123.0007
926124.913445,926125.6778
926124.562672,926124.6511
926133.241597,926132.7358
926124.654044,926124.9811
926134.629577,926134.7444
926124.562672,926124.6545
926123.943186,926124.6127
926128.809695,926128.7361
926125.884726,926126.3206
926121.944009,926121.376
926134.629577,926134.8229
926132.455193,926131.4556
926126.65699,926126.837
926134.642856,926134.3478
926130.536192,926130.6692
926131.303825,926130.2967
926123.463199,926124.5371
926127.996843,926127.8171
926133.913838,926135.5559
926123.933676,926124.4622
926126.556107,926126.7257
926129.832872,926129.2899
926122.49294,926123.8751
926122.475892,926122.2341
926120.757794,926120.4546
926121.975197,926121.8095
926131.822428,926131.041
926120.608785,926118.7098
926131.937451,926131.633
926120.186434,926121.3499
926126.538198,926126.4953
926131.085122,926130.5265
926132.038333,926131.7594
926136.299548,926138.8932
926121.944009,926121.3578
926132.626741,926132.5324
926123.829025,926123.5025
926125.199206,926125.8653
926133.408514,926132.9239
926125.019009,926125.0768
926122.712504,926122.2182
926133.19347,926133.2632
926122.127975,926123.7366
926131.207573,926131.9286
926124.514546,926123.9673
926121.188794,926121.3713
926133.611191,926134.8117
926129.832872,926129.313
926130.435309,926130.648
926123.846934,926123.0973
926131.739455,926131.429
926130.69848,926130.3824
926122.778539,926122.6042
926129.665954,926128.9846
926132.556937,926133.1566
926129.249094,926129.0122
926128.778617,926128.4828
926135.214215,926135.7179
926136.501313,926139.2434
926130.034636,926129.4959
926125.102092,926125.6603
926131.217083,926130.817
926132.991706,926133.0256
926129.161491,926128.9267
926126.605095,926126.612
926123.362316,926124.4637
926120.455147,926120.0139
926126.570138,926125.9127
926133.773479,926133.2654
926124.030789,926123.7491
926122.708845,926123.0397
926121.992135,926121.9283
926120.757794,926120.4516
926127.241518,926126.9743
926124.197707,926124.1292
926121.904532,926122.8657
926129.328299,926129.086
926121.342432,926120.572
926133.158623,926132.7566
926131.752734,926131.1047
926127.123698,926126.9116
926125.888385,926125.7379
926130.684339,926129.6316
926122.725783,926123.1225
926123.214169,926122.0496
926127.039754,926126.7861
926126.692698,926126.5645
926123.362316,926124.4505
926133.7602,926133.8848
926123.358548,926124.2299
926129.095456,926128.7375
926128.093957,926127.7369
926128.659826,926128.2825
926123.257665,926124.1047
926121.904532,926122.863
926123.481108,926124.6005
926122.027092,926123.6671
926126.52115,926126.3784
926123.415933,926122.2564
926133.087958,926132.2797
926127.324602,926127.3024
926130.6852,926130.207
926131.418848,926130.9785
926129.819592,926129.7684
926125.436678,926124.5291
926125.84977,926125.5352
926122.809727,926123.1329
926125.853538,926125.8884
