Predicted Value,Expected Value
926135.0417,926135.0417
926121.90474,926121.8918
926134.8229,926134.8229
926129.0789,926129.0789
926134.4573,926134.4573
926132.1663,926132.1663
926129.0472,926129.0472
926122.1678,926122.1661
926133.5962,926133.5962
926126.53735,926126.5438
926129.0373,926129.0373
926130.6136,926130.6136
926130.4772,926130.4772
926132.4122,926132.4122
926120.2809,926120.2809
926122.30865,926122.308
926124.8133,926124.8133
926126.0098,926126.0098
926118.40965,926118.4153
926129.9116,926129.9116
926129.6521,926129.6521
926124.834125,926124.8104
926128.508733,926128.5297
926126.4785,926126.4785
926129.204,926129.204
926127.5112,926127.5112
926136.4407,926136.4407
926129.0122,926129.0122
926124.3345,926124.3423
926122.8287,926122.8286
926129.5467,926129.5553
926129.2378,926129.2378
926118.5584,926118.5584
926124.6601,926124.6601
926131.7089,926131.7089
926130.8753,926130.8753
926127.8056,926127.8056
926128.88325,926128.8917
926123.83495,926123.8317
926127.055433,926127.0663
926125.71765,926125.7126
926123.233567,926123.2333
926129.5266,926129.5266
926128.8739,926128.8739
926128.0218,926128.0218
926130.1261,926130.1261
926133.4828,926133.4828
926133.3684,926133.3684
926124.3048,926124.2977
926127.0439,926127.0439
926132.4888,926132.4888
926125.363967,926125.3806
926127.0911,926127.0911
926125.736,926125.736
926124.167733,926124.1755
926124.95165,926124.9539
926123.2924,926123.2803
926131.8371,926131.8371
926124.834125,926124.8584
926130.4882,926130.4882
926121.603675,926121.6179
926134.3998,926134.3998
926127.13005,926127.1149
926133.3242,926133.3242
926125.761267,926125.7583
926132.3712,926132.3712
926130.0981,926130.0981
926122.2293,926122.2293
926129.2397,926129.2397
926124.6135,926124.6135
926124.056967,926124.051
926123.23395,926123.2318
926130.002,926130.002
926125.9228,926125.9228
926124.364333,926124.3628
926124.860975,926124.8667
926125.7675,926125.7675
926132.4163,926132.4163
926126.634333,926126.646
926129.3976,926129.3976
926124.121133,926124.1294
926135.5559,926135.5559
926128.1765,926128.1765
926132.4384,926132.4384
926129.8794,926129.8794
926132.2942,926132.2942
926120.5876,926120.5868
926127.47655,926127.4928
926129.8398,926129.8398
926134.3894,926134.3894
926125.924575,926125.9401
926124.2182,926124.2292
926121.789,926121.7832
926128.076,926128.076
926121.2294,926121.2317
926126.14265,926126.1545
926123.1059,926123.1059
926131.6017,926131.6017
926132.9381,926132.9381
926121.75478,926121.7777
926131.1153,926131.1153
926127.92735,926127.9168
926125.06805,926125.0738
926122.213825,926122.2288
926127.6228,926127.6228
926127.7138,926127.7244
926132.5317,926132.5317
926127.6748,926127.6789
926131.83755,926131.8511
926130.4276,926130.4276
926126.439933,926126.4259
926128.1284,926128.1284
926128.9754,926128.9754
926121.091233,926121.0943
926130.6327,926130.6327
926125.758,926125.758
926123.000467,926123.0007
926127.34315,926127.3334
926129.262,926129.262
926127.7466,926127.7466
926129.3925,926129.3925
926127.7608,926127.7608
926135.906,926135.906
926124.13125,926124.1256
926126.6708,926126.6708
926135.3225,926135.3225
926125.935225,926125.9457
926123.2924,926123.2946
926131.6265,926131.6265
926124.2909,926124.2909
926130.3276,926130.3365
926132.4207,926132.4207
926123.233567,926123.2346
926126.2889,926126.2732
926123.500133,926123.5001
926128.3346,926128.3345
926131.4828,926131.4828
926121.755267,926121.7483
926129.6236,926129.6236
926129.0779,926129.0779
926124.434033,926124.4338
926127.6588,926127.6588
926123.13315,926123.1329
926127.1452,926127.1452
926118.57395,926118.5717
926132.4223,926132.4223
926128.9262,926128.9336
926122.5553,926122.5553
926126.788,926126.788
926128.6353,926128.6353
926133.4097,926133.4097
926127.66,926127.6707
926121.094033,926121.0903
926126.5421,926126.5576
926125.31095,926125.3026
926129.9152,926129.9152
926127.7771,926127.7771
926126.0791,926126.0791
926131.7128,926131.7128
926124.0522,926124.0522
926122.014071,926122.0171
926130.8149,926130.8149
926137.0691,926137.0691
926132.1937,926132.1937
926127.47655,926127.4603
926133.7924,926133.7924
926130.6869,926130.6869
926121.6454,926121.6454
926127.181,926127.181
926128.1658,926128.1658
926128.3733,926128.3733
926121.091233,926121.0882
926127.851,926127.851
926125.51255,926125.5089
926122.00025,926122.0032
926124.3898,926124.3939
926133.7078,926133.7078
926126.45825,926126.4428
926122.372767,926122.3709
926130.5015,926130.5015
926127.0082,926127.0082
926126.0478,926126.0478
926127.21475,926127.2082
926127.6366,926127.6477
926124.61185,926124.6121
926122.9556,926122.9556
926133.95005,926133.9538
926127.621,926127.621
926129.5668,926129.5668
926133.1448,926133.1448
926127.0401,926127.0401
926128.9934,926128.9934
926132.6337,926132.6337
926134.0524,926134.0524
926130.2391,926130.2391
926133.0256,926133.0256
926134.2452,926134.2452
926124.6872,926124.6872
926128.7987,926128.7987
926134.230633,926134.2351
926126.6708,926126.6708
926124.94725,926124.9435
926124.5866,926124.5866
926123.0744,926123.0744
926125.6603,926125.6603
926132.0516,926132.0516
926124.234475,926124.2312
926121.36245,926121.376
926121.51365,926121.5131
926130.8326,926130.8326
926132.3558,926132.3558
926132.8014,926132.8014
926133.089,926133.089
926130.9515,926130.9515
926127.3848,926127.3848
926131.3393,926131.3393
926130.9342,926130.9342
926129.3098,926129.3098
926124.13155,926124.1385
926123.527967,926123.5256
926137.9746,926137.9746
926125.51175,926125.5173
926128.7086,926128.7086
926134.0451,926134.0451
926131.5751,926131.5751
926131.7109,926131.7109
926128.2963,926128.2963
926121.6215,926121.6215
926133.1018,926133.1018
926133.1215,926133.1215
926130.3468,926130.3468
926122.60685,926122.6066
926129.7553,926129.7553
926128.32,926128.32
926128.1151,926128.1151
926123.13315,926123.1334
926129.1203,926129.1203
926124.41685,926124.4094
926120.4827,926120.4787
926131.1335,926131.1335
926131.8564,926131.8564
926120.328622,926120.3585
926133.9259,926133.9259
926134.3011,926134.3011
926123.2325,926123.2325
926130.8796,926130.8796
926127.0449,926127.0449
926132.1297,926132.1297
926122.5407,926122.5408
926125.9801,926125.9801
926124.6717,926124.6795
926120.751125,926120.7518
926123.7382,926123.7428
926130.1638,926130.1638
926130.3276,926130.3187
926128.2672,926128.2672
926126.3206,926126.3206
926120.267225,926120.2635
926122.923375,926122.9207
926123.64565,926123.637
926133.1566,926133.1566
926122.9488,926122.9488
926131.3547,926131.3547
926129.9181,926129.9181
926126.4159,926126.4011
926123.12365,926123.1256
926124.3601,926124.3601
926131.2995,926131.2995
926133.6693,926133.6693
926127.4824,926127.4824
926128.9964,926128.9964
926126.5656,926126.5656
926131.5495,926131.5495
926136.6078,926136.6078
926127.1374,926127.1374
926128.6732,926128.6732
926124.7018,926124.7018
926135.6384,926135.6384
926127.5859,926127.5859
926133.752,926133.752
926128.3623,926128.3623
926130.7594,926130.7594
926128.6867,926128.6867
926135.7179,926135.7179
926128.3346,926128.3271
926123.88155,926123.8837
926127.0888,926127.0783
926131.1291,926131.1291
926128.4635,926128.4635
926121.341625,926121.3262
926124.996267,926124.9962
926127.7589,926127.7589
926127.2768,926127.2768
