Predicted Value,Expected Value
0.8554688664,0.8509585483
1.235501891,1.232015675
3.682908158,3.67616161
0.7742995268,0.7711073833
1.349591366,1.344952204
1.549798855,1.545175185
1.386385433,1.382520142
1.205868611,1.202211613
3.580900926,3.574852107
2.608315914,2.613779656
1.452076916,1.456548252
4.190262618,4.19728763
4.21464345,4.207291422
0.807764394,0.8105597558
1.801057674,1.807229667
0.9433808828,0.9393539642
1.754385771,1.749252638
1.197908566,1.193524227
0.6140067967,0.6103564493
4.477206577,4.467960067
2.253134077,2.257507195
0.8349893048,0.8315998103
3.336293282,3.330675002
1.002206677,0.9945144368
0.9510467146,1.016111368
1.676830754,1.67107921
1.548609556,1.542718835
1.41762243,1.414298511
3.442274192,3.43596902
1.549798855,1.554505896
1.211610407,1.216547607
1.466293332,1.564600564
1.264184063,1.261176182
0.9544208616,0.9507627356
1.035765498,1.038732114
0.6329738956,0.6363705646
1.387886471,1.392680759
1.114388434,1.111096764
1.230551685,1.234533858
1.442795405,1.360807885
1.442795405,1.364371025
1.125849547,1.130492572
1.086733845,1.081694501
0.882294793,0.8780804199
1.348965297,1.346366227
1.492276146,1.486992459
1.09318488,1.090275575
1.246815218,1.243038056
0.8586886687,0.8639803816
1.222262659,1.217788443
2.539858489,2.54517653
0.9855636234,0.990089804
0.6846929368,0.6815622548
1.041236796,1.037889652
1.450611996,1.439774868
0.9576824402,0.9476931945
1.289371235,1.293416194
1.643848866,1.65645926
1.062419405,1.058301327
1.705236994,1.719472374
2.925867159,2.919501587
1.593127948,1.589054002
0.8149130836,0.8119289678
1.438392963,1.442614629
1.042659813,1.038449211
2.160171069,2.155481884
3.44273809,3.436220035
2.679588239,2.664917554
0.8874230592,0.8833652808
1.643369014,1.654217025
1.029246427,1.024620323
4.635036106,4.625578418
1.163755215,1.157051293
1.611433529,1.604268939
1.08267455,1.086501318
1.379305138,1.375656149
3.953985823,3.946565472
1.015837071,1.019572545
4.733266226,4.725346848
2.537044074,2.542414982
1.059879355,1.063510139
1.278173279,1.275299108
3.466750343,3.472734137
3.737878261,3.723996937
4.735241667,4.724821993
1.209174779,1.205047278
1.166476199,1.162771212
1.855676551,1.850837053
1.297605325,1.293264671
3.160459928,3.171365439
1.058802611,1.055514485
1.269582984,1.265031715
1.391887975,1.387709998
0.9985140682,1.002477566
0.9946974894,0.9990472931
1.392827709,1.400015253
1.044567565,1.048678928
2.101719876,2.097342187
1.071069577,1.06612716
4.082559011,4.224048317
3.765537147,3.759653359
3.633881962,3.639821884
0.892591248,0.8878141046
0.8989241541,0.8919096171
1.120747557,1.131452804
1.509256409,1.505316362
1.309329992,1.305487764
3.429292705,3.435525418
1.292751615,1.289704265
1.233921383,1.238225837
2.666537493,2.660814363
0.8476091126,0.8380997109
0.8980532453,0.9013495821
1.298081015,1.309789838
1.163894884,1.160306459
0.8598708449,0.8554619909
1.872980252,1.862418565
1.451762972,1.455715818
1.406050751,1.401902605
0.8117152934,0.7614621098
0.6403607845,0.6373213877
0.8414676879,0.8381845756
1.438375591,1.434638096
0.7961251477,0.793029281
3.737878261,3.744289995
1.032105745,1.036350274
2.559779057,2.564689886
1.238982311,1.241846957
0.9442825768,0.9332662202
0.9523298384,0.956618146
2.45193782,2.456538342
1.385259249,1.389321498
1.09375127,1.089182323
2.447143893,2.44150943
3.376325489,3.370173744
2.385192608,2.39058518
1.030179913,1.027508723
2.803526011,2.809183731
1.387072211,1.381802399
0.9134709336,0.9101004307
1.824226188,1.81935384
2.540084908,2.53515103
3.790837718,3.808972168
0.775565093,0.7722508854
1.67723018,1.681661712
0.8889406097,0.8759927666
1.109407617,1.102775226
1.522786792,1.519199918
1.301545633,1.310412034
3.194112661,3.199949227
2.771814252,2.766453959
1.795470534,1.789824096
0.8669484419,0.8638362938
1.248630132,1.254283528
1.587668,1.583342469
0.764504241,0.7606153553
0.9059501979,0.9018077254
1.457436568,1.461183093
3.463015747,3.456843063
0.9571111806,0.953800833
1.06131201,1.064547495
1.885539742,1.889924053
1.254704262,1.26020156
1.065639104,1.075182703
1.207123932,1.20290317
1.780706364,1.775890864
2.679588239,2.674966181
1.159369354,1.155450542
1.14491705,1.141741627
0.7684917363,0.7716869658
0.9165242444,0.920707816
0.9059501979,0.8976853924
1.549355458,1.54473991
1.46510333,1.461137962
3.155314694,3.160073319
3.202891941,3.197523457
1.191989237,1.195902963
1.731010217,1.726985911
0.8689488597,0.8653357665
1.105876678,1.100981468
1.297605325,1.28890148
3.890374262,3.883663743
2.862163064,2.867357123
0.9458822256,0.9491052843
4.07496991,4.216302686
0.9964017168,0.9880945425
1.033838879,1.113727213
0.9855981068,0.987920563
0.6158665986,0.6129449564
2.343882202,2.34878706
1.086414585,1.094078856
1.407064483,1.422125934
0.8190444092,0.8225477286
1.993838317,1.988818595
2.938341273,2.932231254
0.9204025943,0.9165552128
1.577602508,1.573009121
1.188005631,1.179086064
1.14951586,1.145574964
2.940010362,2.934008197
1.818935415,1.815384628
0.95059203,0.9467499185
2.647299471,2.642597025
3.28710808,3.291957464
1.333438862,1.325708743
1.308104011,1.304031505
1.412729114,1.417364756
1.364406198,1.355042819
1.301545633,1.297297871
3.187945427,3.181670238
0.8190444092,0.8258137193
2.659086144,2.654028095
1.172608741,1.177125107
1.307135527,1.303051959
0.7243442964,0.7316083522
0.8476091126,0.841290874
1.4781791,1.47343128
1.012448939,0.9474861914
0.7042340941,0.7105710337
