Predicted Value,Expected Value
1.544347477,1.544347477
1.181162535,1.181162535
1.987985962,1.987985962
2.225892433,2.225892433
1.351817848,1.351817848
1.268136223,1.268136223
0.5485215822,0.5485215822
3.209628672,3.209628672
2.646791461,2.646791461
1.304858394,1.304858394
0.8669484419,0.8669484419
2.920213051,2.920213051
1.06131201,1.06131201
3.34967696,3.34967696
0.5346152668,0.5346152668
1.042659813,1.042659813
3.462252009,3.462252009
1.019989191,1.019989191
1.316223669,1.316223669
2.549987154,2.549987154
0.9946974894,0.9946974894
1.004008085,1.004008085
2.896417877,2.896417877
1.033883653,1.033883653
3.454020354,3.454020354
1.401235972,1.401235972
0.9737304916,0.9737304916
0.6176662123,0.6176662123
0.8872900901,0.8872900901
1.464337278,1.464337278
4.263752171,4.263752171
0.8284301192,0.8284301192
2.479970215,2.479970215
1.046429432,1.046429432
2.307832289,2.307832289
0.882294793,0.882294793
1.412729114,1.412729114
1.109924791,1.109924791
1.635068973,1.635068973
3.037341219,3.037341219
1.253137062,1.253137062
1.131093407,1.131093407
1.431897517,1.431897517
1.069687815,1.069687815
2.187493953,2.187493953
1.131222872,1.131222872
1.909796366,1.909796366
1.096850982,1.096850982
3.622953713,3.622953713
1.364406198,1.364406198
0.6015414552,0.6015414552
3.017866683,3.017866683
1.045222215,1.045222215
1.02406583,1.02406583
4.379716579,4.379716579
3.704121212,3.704121212
1.392148711,1.392148711
0.9891906365,0.9891906365
1.362072195,1.362072195
1.545661133,1.545661133
0.963702957,0.963702957
3.191944164,3.191944164
1.218084757,1.218084757
1.245566526,1.245566526
1.346227131,1.346227131
1.477412979,1.477412979
1.769690936,1.769690936
1.405127461,1.405127461
1.204570879,1.204570879
3.36373802,3.36373802
1.1303927,1.1303927
1.331982781,1.331982781
2.436703848,2.436703848
4.387218946,4.387218946
1.143583118,1.143583118
0.8835909346,0.8835909346
1.411215112,1.411215112
4.256507486,4.256507486
1.246815218,1.246815218
2.407349729,2.407349729
1.004155233,1.004155233
3.072902182,3.072902182
1.503607972,1.503607972
3.285946256,3.285946256
1.358861278,1.358861278
1.07949598,1.07949598
1.785327965,1.785327965
1.174929822,1.174929822
1.052194367,1.052194367
0.692130138,0.692130138
1.257858813,1.257858813
1.524176202,1.524176202
5.409974697,5.409974697
1.646503682,1.646503682
1.000806212,1.000806212
2.919174843,2.919174843
1.759279225,1.759279225
1.649340199,1.649340199
2.693318864,2.693318864
0.7173326434,0.7173326434
3.09866197,3.09866197
3.869248957,3.869248957
1.531298045,1.531298045
1.118867984,1.118867984
1.178214882,1.178214882
1.240998421,1.240998421
1.034073807,1.034073807
1.613161287,1.613161287
1.357207232,1.357207232
3.450234322,3.450234322
1.212211693,1.212211693
3.884973716,3.884973716
0.8809594921,0.8809594921
0.7369357053,0.7369357053
2.420867037,2.420867037
1.465429576,1.465429576
2.524681355,2.524681355
1.434383311,1.434383311
3.542280837,3.542280837
0.861501491,0.861501491
3.334419653,3.334419653
1.098661608,1.098661608
2.217698149,2.217698149
3.468217963,3.468217963
4.257262869,4.257262869
1.540572257,1.540572257
1.442978359,1.442978359
1.490347508,1.490347508
1.493056867,1.493056867
1.371750373,1.371750373
4.042512036,4.042512036
4.411935423,4.411935423
1.637972198,1.637972198
1.306814802,1.306814802
2.562138573,2.562138573
1.472762307,1.472762307
1.372255863,1.372255863
3.607355929,3.607355929
1.006067564,1.006067564
2.55592675,2.55592675
1.243283392,1.243283392
1.059943488,1.059943488
2.657176781,2.657176781
1.023842331,1.023842331
0.6161299589,0.6161299589
1.593127948,1.593127948
3.468717875,3.468717875
3.45650885,3.45650885
1.147126111,1.147126111
1.387072211,1.387072211
1.054691312,1.054691312
2.471827683,2.471827683
3.505120997,3.505120997
0.882037399,0.882037399
1.241417141,1.241417141
2.195628745,2.195628745
1.473970499,1.473970499
3.45527276,3.45527276
0.7570088788,0.7570088788
3.466750343,3.466750343
2.670439904,2.670439904
0.6648349145,0.6648349145
1.2494004,1.2494004
0.8366015544,0.8366015544
1.284553453,1.284553453
4.538783317,4.538783317
1.147953566,1.147953566
0.9757678878,0.9757678878
0.9882133989,0.9882133989
1.141223794,1.141223794
3.311510174,3.311510174
1.643005256,1.643005256
1.522786792,1.522786792
1.264184063,1.264184063
0.9579234109,0.9579234109
1.846186798,1.846186798
2.928010992,2.928010992
1.262924933,1.262924933
2.911791513,2.911791513
3.429657563,3.429657563
3.188942541,3.188942541
0.8470854053,0.8470854053
1.196539519,1.196539519
5.949993965,5.949993965
3.695939427,3.695939427
1.640435867,1.640435867
1.309329992,1.309329992
1.712436795,1.712436795
0.966256157,0.966256157
0.868687076,0.868687076
0.7519529227,0.7519529227
0.8940265504,0.8940265504
0.5111214222,0.5111214222
0.7243442964,0.7243442964
1.08379986,1.08379986
3.590222205,3.590222205
2.537044074,2.537044074
1.650398854,1.650398854
0.8201186989,0.8201186989
1.05192322,1.05192322
1.448863957,1.448863957
3.491749707,3.491749707
1.114334269,1.114334269
1.282436071,1.282436071
0.6037108346,0.6037108346
1.041236796,1.041236796
0.9163359332,0.9163359332
3.309023059,3.309023059
1.54039619,1.54039619
1.584985134,1.584985134
1.8342727,1.8342727
1.585466503,1.585466503
2.439764736,2.439764736
3.189286827,3.189286827
0.8642807601,0.8642807601
2.299184037,2.299184037
1.556895853,1.556895853
1.976190219,1.976190219
2.559779057,2.559779057
1.96262075,1.96262075
1.092408717,1.092408717
1.371455622,1.371455622
0.6809638603,0.6809638603
0.8353872146,0.8353872146
1.383351154,1.383351154
1.27869135,1.27869135
0.8684265088,0.8684265088
3.919462846,3.919462846
0.9836006386,0.9836006386
1.707430835,1.707430835
2.093301411,2.093301411
1.315506545,1.315506545
1.361450262,1.361450262
0.7875869231,0.7875869231
0.7692857887,0.7692857887
1.982908994,1.982908994
1.553715764,1.553715764
1.039269932,1.039269932
0.7751876775,0.7751876775
2.656182342,2.656182342
1.867434922,1.867434922
1.513199113,1.513199113
1.318931224,1.318931224
1.392827709,1.392827709
3.030941099,3.030941099
1.427162979,1.427162979
2.7925431,2.7925431
2.455046298,2.455046298
1.175552393,1.175552393
1.376530293,1.376530293
1.295962236,1.295962236
1.783971918,1.783971918
1.187045728,1.187045728
0.9966192231,0.9966192231
1.150412649,1.150412649
5.912238792,5.912238792
3.206144291,3.206144291
5.53705372,5.53705372
1.080479545,1.080479545
1.230744019,1.230744019
2.355674959,2.355674959
1.134556829,1.134556829
0.9260764363,0.9260764363
1.31580566,1.31580566
1.242403821,1.242403821
0.9827495796,0.9827495796
4.713763755,4.713763755
1.372545427,1.372545427
1.643369014,1.643369014
0.7660188918,0.7660188918
1.477893178,1.477893178
1.410880631,1.410880631
1.422528239,1.422528239
0.9078199548,0.9078199548
2.958229972,2.958229972
3.061012202,3.061012202
1.144668726,1.144668726
1.46619327,1.46619327
3.910981976,3.910981976
1.172083842,1.172083842
1.4686693,1.4686693
0.9184323404,0.9184323404
