Predicted Value,Expected Value
-2.98518823546,-2.98744501633
-3.08382399756,-3.07722084867
-3.48601330133,-3.49128776944
-3.28993598504,-3.28472669342
-3.48454509736,-3.48945722158
-3.0605380161,-3.06950308237
-3.1815166073,-3.1736593578
-3.41672572912,-3.41122784953
-3.19032346644,-3.18894259492
-3.51680166673,-3.52080248985
-3.12333110837,-3.11875784879
-3.45231832796,-3.45710816087
-3.02638100165,-3.03226588199
-3.38663503621,-3.38263889269
-3.38665741396,-3.38252860723
-3.37596941307,-3.39216238128
-3.2208495499,-3.21754086333
-3.22052111928,-3.2118264219
-3.32009946189,-3.31315434167
-3.51522756241,-3.51883498934
-3.41745700575,-3.41208501158
-3.28855179141,-3.28275020819
-3.2211184671,-3.21236726681
-3.31964267814,-3.31452312717
-3.25626904012,-3.25001738856
-3.18005962972,-3.17292083625
-3.25698351468,-3.25087380251
-3.32037854589,-3.31385379369
-3.5157913061,-3.51943441802
-3.41822852177,-3.42409693629
-3.0932337802,-3.10365173007
-3.31877083744,-3.31114804111
-3.51582491023,-3.51943373799
-3.485834542,-3.49077453253
-3.22221694146,-3.2208092094
-3.19077565906,-3.18987472472
-3.25658730394,-3.25050001558
-3.08298116987,-3.07676552877
-3.51538386896,-3.51833750697
-3.37754351739,-3.3923610595
-3.19042936679,-3.18951837663
-3.22287690643,-3.21392984069
-3.51493167634,-3.51831277835
-3.22092749683,-3.21770441723
-3.45371932366,-3.45841442411
-3.31969308434,-3.31453006118
-3.48500851638,-3.48985899106
-3.32043969075,-3.31444992932
-3.09332852919,-3.10387489435
-3.18149422955,-3.17325013045
-3.22223374353,-3.22081895628
-3.12471424241,-3.13402005727
-3.48633156515,-3.4913058773
-3.51565737729,-3.51942162037
-3.06149797053,-3.07113883291
-3.27942109277,-3.27853395796
-3.51607596578,-3.51944886597
-3.32089188338,-3.31499102712
-3.41734651427,-3.42401903471
-3.02563292295,-3.03084093674
-3.08284724106,-3.07646534991
-3.15901182094,-3.15759864731
-3.35479325116,-3.35035919983
-3.12335913682,-3.11799273127
-3.45245225677,-3.45710190248
-3.06068874698,-3.06991823152
-3.12390607844,-3.11870256652
-3.12428442753,-3.13242471509
-3.32017740882,-3.31366570018
-3.09221784389,-3.10154652147
-3.18106999035,-3.17345556794
-3.19156808055,-3.19117567142
-3.48472943237,-3.48946692428
-3.48528760038,-3.49028616362
-3.28935543928,-3.28379581022
-3.15862683658,-3.1567228349
-3.32036837909,-3.31494505353
-3.31998897041,-3.31469012982
-3.48541595351,-3.49074076005
-3.12295169969,-3.11851959735
-3.45310517377,-3.45805312943
-3.45254700576,-3.45739680037
-3.37682904283,-3.39245682288
-3.37799013434,-3.39253759142
-3.18022716266,-3.17311415625
-3.38732713303,-3.38351601147
-3.12345282623,-3.13029279143
-3.32016060675,-3.31366000488
-3.41813230049,-3.41337581455
-3.15876076539,-3.15705483358
-3.2780145214,-3.27798000018
-3.35421270541,-3.34994271146
-3.25638616686,-3.25025451423
-3.15847610571,-3.15632745347
-3.09216743768,-3.1015053323
-3.38615481513,-3.38217503635
-3.25724579662,-3.25107418013
-3.02525908995,-3.03155593827
-3.25625223805,-3.25000963252
-3.48414331094,-3.48941597683
-3.12301178496,-3.12913594588
-3.08299239626,-3.07594980347
-3.3759022048,-3.39217889296
-3.19111588793,-3.19022894364
-2.98474161851,-2.9871954902
-3.18022158698,-3.17265234205
-3.27889095322,-3.27830687935
-2.98573517708,-2.98810140265
-3.37653315676,-3.39217023751
-3.12377109005,-3.13093577171
-3.09278158757,-3.10267077892
-3.06054359178,-3.07007549704
-3.22135731171,-3.21858775237
-3.15930213133,-3.15737495624
-3.27887972683,-3.27826824035
-3.35420712973,-3.34985741643
-3.02630305472,-3.0325983991
-3.17994250298,-3.17272268029
-3.41702719087,-3.41147583323
-3.27897447583,-3.27834975141
-2.98431180363,-2.98698474895
-3.51637185185,-3.52008636814
-3.27781338432,-3.27791621169
-3.22137411377,-3.21859759383
-3.1806345998,-3.1728264986
-3.48455632375,-3.48981908814
-3.19075328132,-3.18955587542
-3.32021101295,-3.31367680199
-3.25636936479,-3.25024755347
-3.08350573374,-3.07654849418
-3.37694616957,-3.39232705301
-3.28806599465,-3.28211312469
-3.09291551638,-3.10305080153
-3.32035157702,-3.31494242501
-3.51478094546,-3.51829718963
-3.09235734837,-3.10230112496
-3.19055771992,-3.18957808486
-3.15754926768,-3.1554378567
-3.09190515575,-3.10131082965
-3.15859323245,-3.15668865364
-3.083109523,-3.07632275133
-3.35376051278,-3.34954587504
-3.48585134407,-3.49077476713
-3.41802180902,-3.4245374568
-3.51519395828,-3.51883394223
-3.45186613533,-3.45712492234
-3.08228349738,-3.07592981376
-3.22286010436,-3.21391700392
-3.2575808625,-3.25149955055
-3.45261421403,-3.45739833535
-3.15904542507,-3.15761327269
-3.22223931921,-3.22045890603
-3.31988152275,-3.31297921813
-3.41684285586,-3.41134651906
-3.19118867187,-3.19048568777
-3.48532120452,-3.49028756595
-3.08165254542,-3.07531653005
-3.12263343587,-3.11782816231
-3.45355736639,-3.45802961061
-3.27930396603,-3.27848662718
-2.98404394602,-2.98601843205
-3.15759967388,-3.15546412703
-3.32068106723,-3.31514871365
-3.12463735507,-3.1197581256
-3.28018597354,-3.27881751192
-3.22130280211,-3.21262942729
-3.12373748591,-3.1309144664
-3.09207268869,-3.10171462562
-3.41899750593,-3.41453203681
-3.41738979747,-3.4120864258
-3.09236857476,-3.1019661556
-3.31856970036,-3.31089183444
-3.27868981614,-3.27824245638
-2.98563485241,-2.98773533507
-3.41903111006,-3.41453691433
-3.41813893576,-3.42448489025
-3.25653132206,-3.25012517149
-3.06124691498,-3.07027006416
-3.15861003452,-3.15669922024
-3.37636562382,-3.39231309487
-3.12413369666,-3.13217359466
-3.48427723975,-3.4894327503
-3.12436949746,-3.11910216192
-3.25610150718,-3.24973893865
-3.48641508775,-3.49131070446
-3.1588946942,-3.15735067101
-3.17992570091,-3.17271449067
-3.41758076775,-3.42393058615
-3.15956998895,-3.15809995237
-3.38791325446,-3.38402081828
-3.32036280341,-3.3149202922
-3.28953977429,-3.28403135392
-2.98463006745,-2.98775472954
-3.08208793598,-3.07637447115
-3.22184416805,-3.21265872589
-3.19133940275,-3.19072339995
-3.22179270226,-3.21944138977
-3.22143673092,-3.21284234522
-3.32094228958,-3.31499896756
-3.09261405463,-3.10223672148
-3.1233143063,-3.1187490709
-3.51676806259,-3.52080218385
-3.35611629993,-3.35150501517
