Predicted Value,Expected Value
186.312543417,177.5929642
111.655735266,116.5216565
297.919056488,288.5839927
190.025806233,184.1490657
182.611893304,171.6034054
118.892931025,133.1821045
119.305772308,133.7877457
262.914983825,269.4741349
154.703508744,154.4112949
258.974648983,268.9397743
154.180905663,153.8725993
147.319789537,138.7838467
154.895322775,154.456176
154.554501137,154.415083
294.044173363,294.0371235
197.201110891,197.9857553
298.444143728,289.0372619
290.507627718,298.995287
258.758686003,268.8471847
108.009427823,109.3173089
273.740583741,273.2850248
274.278283683,273.1589429
259.225869957,268.9706071
185.759746614,177.4358289
294.287845907,293.899075
287.006340067,303.8444108
197.696004408,198.2709299
290.751300261,298.8488248
158.585940299,163.5111876
273.591576134,273.2951309
146.761928462,137.9605133
185.951560646,177.4118843
182.497067235,171.1212177
107.235603768,108.1223952
182.420079272,171.5500561
115.341288518,124.4110992
142.735553571,131.0388037
143.25309238,131.3070799
293.910262618,294.1771181
146.694973089,137.8829724
290.35107168,298.8262057
143.532022918,131.8158063
111.612928841,116.3427777
154.134111423,154.0231751
294.425317268,294.0672198
186.03361288,177.3287465
262.946681204,269.6973335
182.835404714,171.5975319
111.08277733,115.60653
182.02233485,170.989413
185.877056842,177.4141199
196.817482827,198.1546971
193.813572852,190.9092378
290.487466585,299.090701
107.907214456,108.9835735
301.204381159,283.3269403
270.251908792,271.828196
290.550434143,299.1461029
186.081483576,177.6807925
290.00518577,298.9715966
287.28925842,303.5851665
107.981718259,108.9817212
297.824391552,288.7652122
258.887532478,268.6889506
298.192922754,289.0238908
269.76855152,271.7299713
266.14488937,270.2491115
290.597228383,299.1285952
114.6621294,123.755089
290.594744224,298.6243583
193.147026436,190.8880288
111.423598968,115.7012521
293.80050082,294.1266972
266.523549114,270.8969066
266.592988647,270.4794869
107.479276311,108.4262403
157.611250126,162.63908
193.22907867,190.8042073
186.414756784,177.7459768
154.574662269,154.666473
266.510936412,270.6235923
189.241949588,184.1141566
193.201369107,190.708823
193.562351878,190.8067673
158.518984926,163.4495917
104.032331331,102.1050563
274.086469651,273.4894439
297.498666774,288.7469994
266.428884178,270.7530079
273.643434645,273.745862
290.758848692,299.0104617
266.423819907,270.2987627
259.009906977,268.8777485
269.604447052,272.0017239
269.701596148,271.5806478
186.407208354,177.8268821
270.209102367,272.0596779
273.604188836,273.6390687
147.401841771,138.7016015
259.127217206,268.6783809
294.086979788,294.1879547
258.967100553,269.0303826
147.292079973,138.542644
259.084410781,268.8746377
274.054772272,273.1754983
297.506215205,288.8928252
193.532158156,191.1206626
158.42431999,163.211528
270.082740052,271.6511312
266.090546699,270.4389769
286.766655339,303.7131944
115.23152672,124.234327
193.73658489,191.345023
301.891088709,283.534271
301.958044081,283.3677738
107.243152199,108.0502821
182.36822076,171.3629091
107.419869369,108.2905261
262.429142394,269.8618183
108.240487664,109.2452865
193.57496458,191.0885639
273.86295824,273.503264
118.937241106,133.4529403
104.142093129,102.3491627
118.45744445,132.8754551
273.796002868,273.3421391
294.440414129,294.2113676
297.623525433,289.0404827
259.071798079,268.592592
147.299628404,138.4623927
193.154574867,190.806882
297.993560292,288.5898421
119.313320739,133.7162823
104.091738273,102.2423896
150.982697497,146.3036039
181.822972388,171.0694386
154.636553371,154.3458435
262.715621362,269.8207598
262.939132773,269.8113929
297.839488413,289.0025387
118.944789536,133.3935681
269.55258854,271.5899279
147.468797144,138.7793729
182.827856283,171.6612975
273.965171607,273.5290372
186.215394322,177.8158219
266.66749245,270.475224
146.891851392,138.3366285
158.534081788,163.3040197
273.717938449,273.7420666
119.380276111,133.785726
150.385590613,145.7210395
301.293981824,283.6364209
189.642178169,184.2122635
269.930171829,272.0135488
158.200808579,163.2179163
193.641919953,191.1607325
115.451050316,124.6065271
262.34957432,269.4922024
266.224457444,270.6967709
150.746573385,145.9892514
158.165550585,163.130355
262.47949725,269.5558939
114.83884657,123.9564494
193.629307251,190.8940633
273.419923235,273.7572666
259.002358547,268.9789822
142.912270741,131.2338016
154.597307561,154.4653543
258.818092946,269.0353404
262.812770458,269.4374366
150.467642847,145.6533978
273.489362767,273.2738783
150.523061974,145.9952476
189.575222797,184.1511787
182.745804049,171.7195998
118.98004753,133.5515049
111.157281133,115.6048674
290.825804065,298.8542493
301.604609741,283.3497642
262.578150001,269.8562224
294.323103901,294.054809
186.133342088,177.8766305
273.950074746,273.8159992
103.699058123,101.8948494
107.466663609,108.0433807
294.514917933,294.2068602
