Predicted Value,Expected Value
269.906022881,271.6289635
150.333732102,145.5051621
262.538904192,269.7910081
157.678205499,162.718804
154.79817368,154.6613333
301.152522648,283.7362399
290.166806079,298.6029373
146.938645633,138.1369341
154.397945099,154.4796824
154.474933062,154.0208334
301.129877356,283.3369505
154.310828593,154.1796026
301.329239819,283.7461829
290.020282631,299.1123332
158.240054389,163.1283999
269.855668026,272.0170228
182.701493969,171.4529722
273.494427038,273.7534234
265.995881762,270.2584717
107.501921603,108.2082041
258.989745845,268.7237769
115.326191657,124.5351813
119.36517925,133.9109418
189.963915132,184.4501745
193.833733985,191.1189896
107.927375589,109.3783235
265.988333332,270.4131083
270.032385196,272.0374316
298.153676945,289.0738303
119.238816935,133.7184848
107.392159806,108.0456273
114.853943431,123.807934
111.600316139,115.9450523
301.619706602,283.6522399
111.231784937,115.6032003
193.766778612,191.0318664
297.954314482,288.7749721
158.349816187,163.2136631
118.641710051,132.9837303
115.415792322,124.4090826
286.889029838,303.5562515
273.258302926,273.454729
197.37027963,198.1751664
273.596640405,273.775084
294.064334496,293.8874863
118.897995296,133.6184201
290.263955175,299.085035
111.561070329,116.1478275
294.308007039,293.6976687
119.069648195,133.4008585
266.675040881,270.3195944
258.927854743,268.9817265
273.427471665,273.6213805
103.745852363,101.6293288
259.049152787,268.936975
196.927244625,198.1650461
274.196231449,273.3481092
270.134598563,272.0631426
104.214112773,103.0009328
182.345575468,171.551887
111.968847341,116.3602573
301.993302076,283.5402521
298.267426558,289.025751
290.318297846,299.1063417
182.215652538,171.2501745
143.362854178,131.4670247
104.201500071,102.5021493
290.845965198,298.641548
118.743923418,133.1867995
119.067164036,133.9177705
119.211107372,133.4740005
103.907472672,102.0131868
290.664183756,299.1018071
189.346647115,183.8196386
294.723332482,294.0770844
297.698029237,289.0376049
108.016976253,109.2514605
294.133774028,294.1721524
301.458086293,283.7603649
196.981587295,197.997058
189.324001823,184.0500201
193.547255017,190.9785493
266.216909014,270.8100103
197.680907547,198.4401973
115.164571348,124.1712106
107.974169829,109.0409375
258.641375775,269.0038605
269.843055324,271.7257234
142.899658039,130.8983565
111.510715474,116.0719832
143.563720296,131.6791003
150.672069581,145.9912855
158.303021946,163.386434
158.011478707,162.7621112
107.702787722,108.4207108
290.012734201,299.0767609
273.392213671,273.7333754
294.024012231,294.1323579
274.24808996,273.8006986
269.883377589,272.0443555
189.979011993,184.2887786
287.207206185,303.3588007
290.641538464,298.6343594
154.052059189,154.0919232
186.282349695,177.8733168
114.647032538,123.8780609
266.408723046,270.5941261
297.816843121,288.5809877
273.73303531,273.4524671
107.82009795,108.5479872
258.743589142,269.0377163
146.966355196,138.3341886
297.906443786,288.9124441
118.583806765,133.0661035
266.570343355,270.8593671
258.390154801,268.9772932
294.432865698,294.1722685
182.223200969,171.1939466
259.194172579,268.8013531
182.599280602,171.2784774
290.818255634,298.6444146
193.657016815,191.0043972
158.003930276,162.8445909
294.70823562,293.7266699
269.729305711,271.6086263
274.094018082,273.3219703
158.113692074,162.9051772
107.855355944,108.7659782
294.14638673,294.0440063
119.054551334,133.5495069
150.731476523,146.1146805
190.112922739,184.4458492
153.949845822,153.9454428
147.21757617,138.5450724
143.128233721,131.2862312
197.375343902,198.5217776
114.87809238,123.8139486
111.60786457,115.8724439
189.684984594,184.1949297
196.994199997,198.2356746
301.824133336,283.6662391
262.769964033,269.6676281
262.892338533,269.8533838
298.274974988,289.05938
298.098257818,289.0482157
286.461091694,303.5338983
262.680363368,269.8863173
115.667013296,124.6719639
111.886795107,116.4427339
197.170917168,198.3226331
147.155685068,138.9261152
118.611516328,133.2550951
143.732889036,132.006308
186.180136328,177.7345193
286.307019816,303.8250597
287.311903712,303.8682786
301.396195191,283.6439658
182.435176133,171.4309582
151.115104587,146.2362129
266.298961248,270.6932884
270.137082723,271.4451841
111.670832127,116.3695224
190.045967366,184.3708808
262.13361134,269.3642344
114.721536342,123.8760931
269.619543913,271.7384331
270.142146994,271.9382568
301.634803463,283.770468
193.452590081,190.7967289
193.193820676,190.7906013
273.922365183,273.7869513
266.553742837,270.3661754
274.047223842,273.3581937
182.842953145,171.5266174
103.686445421,101.4767877
189.916044436,184.110748
147.252834164,138.7066478
104.393314103,102.7165774
143.442422253,131.9549451
294.36234971,293.9042032
190.254381915,184.5122304
270.259457222,271.6753611
146.91600034,138.3338413
185.692791241,177.3717679
297.608428572,288.9030579
107.922311317,108.8443165
182.156245596,171.1326799
182.75335248,171.6630622
154.23632479,154.1819067
301.883540278,283.3623724
115.298482093,124.2916854
150.891593176,146.2436714
193.437493219,190.9534748
158.444481123,163.4515486
266.598052918,270.8938028
111.769484879,116.2798116
258.569356131,268.5402562
143.230447088,131.5023147
115.53310255,124.5258411
197.186014029,198.1695632
301.403743622,283.7350106
103.663800129,101.696742
146.817347589,138.3390734
301.278884963,283.3307731
286.883965567,303.8427765
115.384094943,124.5304045
259.343180186,268.7944091
189.908496005,184.1882311
269.796261084,271.7571577
263.130946805,269.6026848
150.311086809,145.7228817
143.186137007,131.2292479
104.186403209,102.6269345
266.244618577,270.8398671
182.596796442,171.7227377
186.297446556,177.7475724
193.508009208,191.0093342
154.318377024,154.1061583
270.106889,272.033957
108.091480057,109.249408
104.288616576,102.9997401
146.625533557,138.2823298
193.316195176,191.0593395
107.548715844,107.9607813
298.28003926,288.7903409
151.017955491,146.4577509
301.85939133,283.7790591
273.945010475,273.3320785
293.777855528,293.6704644
154.074704481,153.8721775
258.664021067,268.6993662
290.515176149,299.097967
118.619064759,133.1961233
190.077664745,184.3797698
118.658310568,133.064421
142.959064981,131.0332413
258.922790472,268.6003042
104.291100736,102.3438044
270.055030488,271.61968
290.472369724,298.8332943
270.188941234,271.9045027
286.853771844,303.3367491
185.85689571,177.2134402
294.412704566,294.1945234
266.291412817,270.8068763
114.928447235,123.8054286
118.531948253,132.8732876
143.104084773,131.3114747
118.728826556,133.3343362
154.039446487,153.8032913
150.584953076,145.6626683
119.034390201,133.2551015
286.814526035,303.555916
158.091046782,163.1323052
301.530105937,283.344387
266.416271476,270.4539145
274.114179214,273.5197669
287.030489015,303.3474137
150.184724494,145.5099284
302.157406544,283.7715511
142.927367603,131.097504
297.93415335,288.9155506
193.323743606,190.9853999
259.174011446,268.6299175
193.708875326,191.2263045
114.823749709,124.0793844
301.836746038,283.3667057
189.936205568,184.313501
118.952337967,133.3284577
104.358056109,102.4238697
182.604344873,171.6664597
119.074712467,133.858742
193.236627101,190.7149776
189.774585259,184.0309387
192.970309266,190.7975152
301.455602133,283.3391394
182.626990165,171.4553667
143.280801944,131.5496238
150.836174049,145.8335879
294.730880912,294.1763634
150.259228298,145.5078497
150.821077188,145.9872116
269.972978254,271.7775235
103.738303932,101.6949079
115.015563741,124.1754412
158.392622611,163.2261537
269.89092602,271.9198561
293.880068895,293.6767234
103.812807736,101.6930684
107.957569311,109.0999353
301.505956989,283.7566887
110.963963445,115.3362108
298.103322089,288.7798503
190.202523404,184.2811127
273.753196443,273.6306432
153.964942683,153.8055346
193.515557638,190.9199444
104.276003874,102.500089
266.577891785,270.7460635
197.437235003,198.2606425
158.295473516,163.4553539
154.196002524,153.7180354
197.53189994,198.4447115
301.803972203,283.7493584
287.08084387,303.8419612
157.827213106,162.7142305
115.144410215,123.8766288
287.214754616,303.5795383
150.707327575,146.1132703
118.905543727,133.553231
107.825162222,109.0442624
263.138495236,269.4613705
143.524474487,131.8882905
158.436932692,163.5147713
111.463921234,116.3456502
298.036366716,288.9228411
103.611941617,101.4792831
286.632744593,303.8314085
111.207635989,115.6354721
265.97323647,270.678538
266.436432609,270.6274332
290.18190294,298.9817104
270.557472436,271.6567358
294.059270225,294.1722176
273.773357576,273.7945364
290.418027053,298.6143917
150.96609698,146.2408422
290.69944175,299.1407406
193.74413332,191.2776443
154.024349625,153.943567
301.286433394,283.5017276
286.779268041,303.329686
158.526533357,163.3800408
118.382940646,132.8775173
146.448816387,138.105252
298.421498436,288.6148246
143.265705082,131.6862555
274.03212698,273.6752472
259.099507642,268.6337696
262.663762851,269.4459129
107.663541913,108.6254931
111.553521899,116.2200064
111.730239069,116.5196361
182.850501576,171.4481948
118.516851392,133.0087658
297.670319674,289.0274563
273.474265905,273.5925306
197.252969402,198.2474182
273.85540981,273.654136
107.929859748,108.7638452
258.848286668,268.6040962
147.040858999,138.3323759
186.222942752,177.7496106
186.089032007,177.6003574
154.06715605,153.9522815
270.034869356,271.4197626
158.541630218,163.2211204
258.920306312,269.07139
297.59581587,289.027429
286.719861099,303.7130755
262.64866599,269.7112195
158.070885649,162.9181077
111.384353159,115.8791334
262.287683218,269.7668563
196.691120512,197.9195078
104.452721045,102.870859
154.208615226,154.0211539
143.08392364,131.0127965
196.66847522,198.1586188
118.865221461,132.9766469
294.369898141,294.0547493
189.567674366,184.2140252
115.430889183,124.2588899
286.652905726,303.8187974
186.238039614,177.5954271
266.503387982,270.7495405
190.023322074,184.5810541
197.021909561,198.3266912
186.310059258,178.0277256
142.743102001,130.9742643
190.269478776,184.363787
270.224199228,271.795495
189.841540632,184.1131109
143.504313354,131.542802
154.188454094,153.7987859
150.326183671,145.5850818
150.766734517,146.2492647
154.046994917,153.7229364
273.435020096,273.4709496
107.710336153,108.354774
286.759106908,303.5507457
147.068568563,138.5495288
301.360937197,283.5060142
147.194930878,138.7419609
294.648828678,294.0733919
143.402099987,131.3026055
185.904766406,177.5438676
115.659464865,124.7375585
182.273555824,171.1283277
259.410135558,268.9055476
193.649468384,191.0862828
182.258458963,171.2757838
269.788712653,271.8956395
274.255638391,273.662665
143.414712689,131.6827399
290.853513628,298.8547673
186.148438949,177.7516464
293.733545447,294.1667994
270.28360617,272.0562028
269.988075116,271.4553928
297.913992217,289.0043812
154.325925455,154.0257301
107.412320939,108.3631239
147.461248713,138.8526194
107.59658654,108.5552183
266.346831944,270.8686885
182.57663531,171.4904967
290.323362117,298.8224879
262.408981262,269.7293128
146.69248893,138.3387606
107.568876976,108.2858099
143.081439481,131.5057898
266.306509679,270.5667553
107.98926669,108.9156572
197.044554853,198.0868869
190.010709372,184.3113527
157.929426473,162.846909
259.151366154,268.9734077
269.850603755,271.571318
118.449896019,132.9460346
158.334719325,163.3463906
154.201066796,154.0880935
157.670657068,162.7940014
189.669887733,184.3272965
115.149474486,124.2950315
302.067805879,283.5446149
286.630260434,303.3208999
197.3627312,198.263102
150.612662639,145.8411552
274.106630784,273.6710642
290.236245611,299.0782813
154.173357232,153.9397977
147.225124601,138.4648437
154.549436865,154.0183718
151.092459295,146.4558947
143.556171866,131.7375127
273.693789501,273.317831
157.752709302,162.7165452
189.849089063,184.0283613
290.704506021,298.8481871
273.996868986,273.7830818
111.294752494,116.018276
150.65697272,146.1163541
193.500460777,191.090855
189.794746392,184.2410894
263.108301513,269.9459576
290.196999802,299.1230134
115.239075151,124.1691984
115.502908827,124.8003775
269.827958463,271.9913019
294.1388383,293.8889239
150.48780398,145.8829067
111.172377994,115.4804478
197.295775827,198.1778411
269.686499286,271.8730622
182.066644931,171.2534317
270.565020867,271.4863676
111.112971052,115.3314404
150.908193694,146.3052854
301.314142957,283.5187695
143.481668062,131.7390699
262.208115143,269.3600043
146.617985126,138.340576
154.569597998,154.2741107
104.378217241,102.8729263
115.35390122,124.8037952
273.481814336,273.4408655
262.436690825,269.7606352
110.933769722,115.6097448
150.644360018,145.8133127
266.475678418,270.7168768
182.250910532,171.3387137
297.600880141,288.7557584
258.613666212,268.9699625
197.546996801,198.2763029
273.870506671,273.3371139
193.27587291,190.7063269
193.311130904,190.7122663
154.405493529,154.4190524
103.981976475,102.0115394
103.835453028,101.471778
111.545973468,116.2854268
143.465067545,131.7377659
147.269434681,138.7403092
118.995144392,133.4032286
146.864141829,138.1393532
197.126607087,197.9886603
107.847807514,108.8465709
294.302942768,294.1513019
107.546231684,108.4831605
297.737275046,288.9944314
111.356643596,115.631023
150.828625619,145.9141967
111.215184419,115.5564294
290.52024042,298.6221955
297.690480806,288.9990097
107.628283918,108.4225596
263.123398374,269.7299064
111.39190159,115.799916
197.496641945,198.4122212
293.725997017,294.1285673
185.802553039,177.4164364
262.384832314,269.3849536
143.202737525,131.2846102
142.750650432,130.9029382
193.378086277,190.7992279
115.251687853,124.5368451
258.546710839,268.8822855
294.499821071,294.0662391
154.350074403,154.0843184
189.956366701,184.5199781
181.971979995,171.0659557
294.738429343,294.2064665
290.617389516,299.1078298
290.542885712,299.1099377
294.464563077,293.9093526
273.788454437,273.5079268
103.957827527,102.1073544
270.298703032,271.7912559
118.360295354,133.0709731
193.61421039,191.0510114
193.915786219,191.0264162
269.960365552,271.4248853
103.691509692,101.9599363
290.425575484,298.8273692
290.527788851,298.8368669
189.759488398,184.1925294
150.378042182,145.7804505
193.260776049,190.8628856
262.687911799,269.7847753
119.203558941,133.545485
182.081741792,171.1346187
262.884790102,269.9543469
196.934793055,198.0852431
189.744391536,184.3255362
157.988833415,162.9894494
273.768293304,273.3127962
190.053515797,184.2862816
115.18473248,124.4800777
146.769476893,137.880536
266.844209621,270.5032264
270.231747659,271.6418458
293.977217991,294.1368412
103.950279097,102.1805942
266.702750444,270.3569128
266.016042895,270.4431362
262.593246863,269.640408
154.295731732,154.307212
293.926863135,293.6828389
297.852101115,288.7654861
193.759230182,191.1214877
111.369256298,116.0168411
287.132702382,303.3516883
182.332962766,171.2738394
111.946202049,116.5800187
150.943451688,146.4595973
287.065747009,303.5684005
182.552486361,171.4575513
193.731520618,191.0018973
182.348059628,171.1259744
286.597486599,303.7988449
258.566871972,269.0062368
182.666235974,171.35434
108.099028488,109.1757794
286.483736986,303.8362096
147.053471701,138.6866239
301.809036474,283.3572564
186.317607689,177.9686402
107.81254952,108.6211795
108.001879392,109.3763119
111.317397786,115.8023722
262.416529692,269.6153709
293.934411566,293.8800353
298.146128514,289.0334631
266.644847158,270.8562316
193.684726378,191.1241034
266.040191843,270.7882816
118.537012524,133.2566566
287.140250812,303.5738778
151.107556156,146.3166886
151.005342789,146.1044206
193.283421341,190.6165345
258.942951605,268.7676193
301.485795856,283.7704584
286.617647732,303.7055202
262.840480021,269.4783718
301.913734001,283.7920697
258.621214642,268.8794988
186.018516019,177.4832456
263.048894571,269.7333921
266.165050502,270.4346998
182.06912909,170.8534255
115.199829342,124.343785
286.276826093,303.3016126
108.106576918,109.0950967
182.014786419,171.0668157
181.994625287,170.8557922
273.273399787,273.1068317
286.515434365,303.6986799
270.06009476,272.0666032
150.597565777,145.9933159
298.090709387,289.0148044
197.228820454,198.0849059
190.120471169,184.3685233
182.494583075,171.5484907
297.580719009,288.895976
297.446808263,289.030372
270.549924006,271.8112671
118.539496684,132.7961949
266.239554306,270.4304517
111.184990696,115.8312631
146.687424659,137.9623255
273.894655619,273.7598841
258.90014518,268.9425647
185.618287438,177.3736953
196.860289252,198.0877212
294.397607704,294.0582267
286.943372509,303.7245277
186.265749177,177.7510171
294.472111508,294.0619274
157.663108637,162.862771
158.180647447,162.9852783
186.250652316,177.9044008
114.811137007,123.7510613
157.8624711,162.7671168
104.385765672,102.7989779
294.574324875,294.0696755
293.957056858,294.1618062
287.304355281,303.8473498
104.534773279,102.7943858
270.23681193,272.090921
266.137340939,270.4046022
301.552751229,283.7372554
146.884302962,138.4086794
111.804742873,116.5175476
158.362428889,163.5165539
103.827904597,101.5537041
107.459115179,108.1164918
286.971082073,303.7288357
157.886620048,162.8569383
186.399659923,177.9004673
143.763082759,131.7277301
114.913350374,123.954245
193.492912346,191.1648325
150.502900841,145.7448862
297.844552685,288.5785644
108.173532291,109.1735369
154.746315168,154.4607141
297.831939983,288.9089985
154.649166073,154.6647773
150.958548549,146.321161
107.832710652,108.9854197
104.37066881,102.939017
301.537654368,283.5150202
290.691893319,299.1096953
