Predicted Value,Expected Value
-3.49533413958,-3.51832132662
-3.42448276401,-3.46176905986
-3.54350739367,-3.47027626571
-3.76328312748,-3.70918584803
-3.46758034531,-3.3810321951
-3.3889372289,-3.29806903047
-3.65107173938,-3.65663567867
-3.65886705803,-3.64893622857
-3.45419969946,-3.50791162787
-3.46505999837,-3.45427834561
-3.57567174322,-3.54014272468
-3.71760006677,-3.75526791958
-3.43651049795,-3.43519116718
-3.60316725816,-3.61301453127
-3.04120218641,-3.09842645526
-3.25578994124,-3.30484091186
-3.13308169887,-3.19440196376
-3.84457987262,-3.87145692557
-3.66062398457,-3.63065065283
-3.4394630531,-3.41306006185
-3.05598721548,-3.1738889445
-3.56524365253,-3.64818428581
-3.81944950022,-3.9028284715
-3.42229362925,-3.45948671515
-3.55602619733,-3.57199606746
-3.53617656899,-3.49628353283
-3.55809241345,-3.51961132582
-2.9736063313,-3.08000175871
-3.79635675165,-3.89106691079
-3.54455191006,-3.55542890116
-3.69990728745,-3.78278336446
-3.57348260846,-3.53684281828
-3.53354945366,-3.48804934783
-3.1076768969,-2.92869902621
-3.55476812941,-3.55144379631
-3.55343136775,-3.49478499536
-3.47624793164,-3.38258461992
-3.47633688435,-3.39184193841
-2.90929942443,-3.06021209881
-3.1669650325,-2.97204223166
-3.11655635458,-3.12301261233
-3.75610173484,-3.76700353117
-3.57412668802,-3.5377217341
-3.58010102298,-3.59582422207
-3.53886035129,-3.56487962673
-3.07860981337,-3.15418980851
-3.48188426908,-3.50735003698
-3.36257686324,-3.2771261844
-3.57957986206,-3.62504455171
-3.61752998108,-3.613682655
-3.47907756815,-3.43076582249
-3.57193397545,-3.57744027852
-3.455224977,-3.42374669501
-3.69552901793,-3.7761569081
-3.74781176867,-3.84625831525
-3.50376995998,-3.49803443049
-3.6920031215,-3.67339072143
-3.61300227953,-3.57562694921
-3.67547777721,-3.67962470017
-3.47772465625,-3.50970325678
-3.20427107197,-3.00202297237
-3.42396518089,-3.29237292949
-3.58615084415,-3.5682592559
-3.4101236189,-3.4312137466
-3.4817936362,-3.42271357694
-3.33757775609,-3.34829555512
-3.00151532997,-3.12404411701
-3.47259911658,-3.41358496281
-3.53167538083,-3.56825181148
-3.63359083141,-3.66712715337
-3.67328864245,-3.67469101378
-3.23700669861,-3.33519140118
-3.6616456843,-3.64910776508
-3.08079894813,-3.15591001706
-3.67900367364,-3.78171904342
-3.58512556661,-3.63261418098
-3.48112084869,-3.51495932233
-3.49720255569,-3.49190483703
-3.13076964547,-3.05865658058
-3.12201310643,-3.05253207337
-3.03727273643,-3.12245637962
-3.03508360167,-3.12065180352
-3.64783640805,-3.62883174936
-3.86569177997,-3.92391489803
-3.20286668874,-3.22669772004
-3.61764932191,-3.62758056367
-3.50362052794,-3.47432664983
-3.59114310203,-3.61792140158
-3.46800897571,-3.50526919838
-3.29805808502,-3.23559671936
-3.38326860571,-3.31923914069
-3.33366963725,-3.36156099116
-3.6009781234,-3.61050795592
-3.19071961397,-3.23203666783
-3.45972258735,-3.40286157637
-3.59838329382,-3.58184121726
-3.38107947094,-3.31675550521
-3.27660292216,-3.21243573359
-3.48660411393,-3.48514432189
-2.84422909716,-3.00143625095
-3.20067755398,-3.22455359922
-3.71050930702,-3.71567989378
-3.67900725145,-3.69634114623
-3.13403726256,-2.94732256194
-3.42469463536,-3.37031238193
-3.61487635236,-3.62503148886
-3.64890911802,-3.6430763972
-3.41258152652,-3.31974645516
-3.62748792109,-3.61016246962
-3.72241054451,-3.73933346122
-3.51810616951,-3.48510112026
-3.84799900064,-3.9654687742
-3.60830894807,-3.61755511605
-3.82271711731,-3.94157716023
-3.75116833847,-3.81315040812
-3.13463033188,-3.24732118393
-3.60448054742,-3.64958709583
-3.53722108539,-3.5828389802
-3.65655500463,-3.66264049783
-3.29901722651,-3.30867673918
-3.48109951755,-3.19580128406
-3.65153623335,-3.66422960302
-3.44874294762,-3.46567306509
-3.39541568047,-3.2842557711
-3.63131106376,-3.62448307733
-3.205728611,-3.0936770777
-3.39427106211,-3.40979261669
-3.41791535972,-3.45496951404
-3.52467357379,-3.49205544903
-3.10003101029,-3.03836927191
-3.56305451777,-3.645676519
-3.69179482797,-3.69679296551
-3.59893842067,-3.56853998403
-2.95361084875,-3.07569282209
-3.55695726417,-3.55445201756
-3.30677035734,-3.28622674028
-3.03444309991,-3.14718956774
-3.6835048618,-3.72942605239
-3.60550224714,-3.64538621774
-3.21705864849,-3.00410616411
-3.47661966053,-3.48724137116
-3.75021277478,-3.75620429867
-3.42336001496,-3.2794129694
-3.44769843122,-3.35680487015
-3.68729363981,-3.69706987583
-3.6257653592,-3.6209705876
-3.03225396515,-3.14502908764
-3.29356047467,-3.27686676428
-3.6545741634,-3.69950804116
-3.45866860187,-3.46666997827
-3.62138708968,-3.61409407691
-3.33377122475,-3.20273258276
-3.46745742667,-3.44264890992
-3.15617444745,-3.25598626003
-3.56326638911,-3.53911719574
-3.66762001926,-3.75048656319
-2.98048879752,-2.9536594174
-3.32660758544,-3.24363677075
-3.65591450287,-3.66946598488
-3.63624446014,-3.62133414814
-3.52452414176,-3.53245402737
-3.5955536573,-3.55427391919
-3.15998097879,-3.22104902982
-3.58676483251,-3.61265085485
-3.39331549842,-3.30284133549
-3.58854827245,-3.54190511657
-3.87937813758,-4.00184606823
-3.73957639055,-3.74367670884
-3.5883364011,-3.63625736307
-3.48003670965,-3.47856025383
-3.53012674782,-3.61157279419
-3.38169703711,-3.41259866388
-3.33160342113,-3.3596365281
-3.10986603166,-2.93015035551
-3.56974484069,-3.57455986598
-3.33519693912,-3.10191669786
-3.8160303722,-3.82591783108
-3.75096004493,-3.77615578591
-3.57424602885,-3.51906747348
-3.83159657499,-3.91336422446
-3.4433201617,-3.35099884628
-3.43931362107,-3.45349789302
-3.89140587152,-3.92006237624
-3.49095587006,-3.51331141104
-3.72493089145,-3.72703229982
-3.55477170722,-3.5200378115
-3.13527083363,-3.19627327714
-3.43903084488,-3.35136642074
-3.59893484286,-3.63745167209
-3.81994414775,-3.75746546881
-3.40315051979,-3.34140942297
-3.50627415667,-3.52843805431
-3.81556587823,-3.7523565505
-3.71990277,-3.79957075676
-3.57529054524,-3.58680378213
-3.05160894596,-3.16973965033
-3.2028453576,-3.10813853003
-3.49811068695,-3.43899309312
-3.3078966842,-3.25137922209
-3.41748672932,-3.31663786801
-3.2836989399,-3.30281563196
-3.50050811525,-3.41273029751
-3.57461775774,-3.57679292568
-3.31227495372,-3.2556612912
-3.75295345859,-3.79489021847
-3.40577186277,-3.41413256043
-3.23412290703,-3.28909164126
-3.705452992,-3.76210326427
-3.25512810834,-3.14215886838
-3.73978468409,-3.77727928634
-3.36298255806,-3.39188579427
-3.36517169282,-3.39477157495
-3.02851619738,-3.11538011223
-3.57695274672,-3.6072511682
-3.22659993906,-3.26611781294
-3.37953441575,-3.33126490646
-3.61919795492,-3.61065601976
-3.68645741695,-3.68311007861
-3.82928452159,-3.95096242467
-3.75545765528,-3.88279052341
-3.2368994544,-3.21626675146
-3.36467704529,-3.26338335577
-3.40513136102,-3.36415963136
-3.47469929863,-3.42549571533
-3.59283758926,-3.57335874804
-3.71978920153,-3.75834341612
-3.22825015957,-3.32569486783
-2.98498998568,-3.0790552353
-3.49656205394,-3.46713094069
-3.22536636799,-3.28254723912
-3.52519692926,-3.53647089524
-3.29090684594,-3.33000106662
-3.61586420179,-3.66167629996
-3.88483846723,-3.91075308612
-3.62453536594,-3.62901676428
-2.78975721165,-2.95110620244
-3.39374770664,-3.3734452494
-3.42883809795,-3.45454876151
-3.61259658471,-3.62792090218
-3.38881431026,-3.36952185437
-3.59388210566,-3.64168922745
-3.42664896319,-3.45199071768
-3.49664742884,-3.51194443637
-3.27715804902,-3.23580898706
-2.8832541207,-2.96600639847
-3.60550582496,-3.57634320163
-3.61083965816,-3.62443068488
-3.56314347048,-3.61332096387
-3.71605143376,-3.76657623539
-3.46255580167,-3.40846137449
-3.36551326815,-3.39328443913
-3.27669355505,-3.31120583118
-3.67462898193,-3.69043163572
-3.66698309532,-3.66929866593
-3.73519812103,-3.73885110605
-3.63019463897,-3.63514558166
-3.7598359248,-3.88933327776
-3.60818602944,-3.55903015694
-3.31239429455,-3.19458936011
-3.2874841401,-3.30757223373
-3.53252775393,-3.50438492294
-3.18850914807,-2.98027091102
-3.58130808066,-3.61763187785
-3.22298555102,-3.12971331971
-3.81057362035,-3.81768838087
-3.55038985988,-3.5454563777
-3.36017585713,-3.3479774187
-3.58664191387,-3.54797274706
-3.37241188461,-3.31950000691
-3.36739311334,-3.24236277707
-3.36686618005,-3.26589784389
-3.57465004349,-3.55344578696
-3.83816397927,-3.92462714796
-3.50217031673,-3.42508485675
-3.47224139101,-3.48282785842
-3.30024721978,-3.23781064344
-3.20788546001,-3.26461949929
-3.18086326146,-3.09027518043
-2.93784892485,-3.07856721564
-3.50029982171,-3.44187716504
-2.87058946282,-3.0091886914
-3.62652877959,-3.5829677244
-3.63800138668,-3.59983262456
-3.33162993452,-3.2882202176
-3.17869545784,-3.2191808919
-3.32929136773,-3.3574819858
-2.93051810017,-3.03057802747
-3.22812724093,-3.2157720067
-3.59224809775,-3.59485761914
-3.57915123165,-3.51435957005
-3.33393841011,-3.23942789576
-3.57902831301,-3.55908051298
-2.76120771123,-2.94592908286
-3.96021038874,-4.1206694359
-3.49442600833,-3.46416704993
-3.58185794953,-3.59401755477
-3.82280607002,-3.86958602674
-3.47288189276,-3.44968131401
-3.25077116996,-3.28129925426
-3.44396066345,-3.3912739584
-3.45257134827,-3.48141289797
-3.06582223685,-3.1430600715
-3.52685913074,-3.56214118057
-3.54119891808,-3.49079799882
-3.40464553591,-3.13171799764
-3.4074398366,-3.32835546219
-3.2186072815,-3.12585266626
-3.36669899469,-3.23859385425
-3.36770240291,-3.39516291046
-3.52738606402,-3.53879148462
-3.04491862303,-3.07539532079
-3.07410862521,-3.02092089809
-3.48617190572,-3.42794093169
-3.45321185002,-3.47032293066
-3.78190697365,-3.85634154516
-3.16382033406,-3.22435871975
-3.65121759361,-3.68706026384
-3.46822084706,-3.40910010287
-3.40092909928,-3.42831786272
-3.33653155952,-3.31296341851
-3.62462074084,-3.67138118963
-3.33596035951,-3.20454711614
-3.66260124798,-3.72815962452
-3.1280629276,-3.24051859945
-3.31288894208,-3.34414330842
-3.45041449926,-3.33440865323
-3.77940277695,-3.78420749796
-2.98344135267,-3.03487169897
-2.91694531103,-3.04096994744
-3.55152500917,-3.51352498286
-3.59942949039,-3.5508324447
-3.44634551932,-3.46035565926
-3.67526948368,-3.67740781292
-3.27384258739,-3.24643911103
-3.43272171994,-3.3040115186
-3.56259360161,-3.57929306963
-3.33598169065,-3.36450484329
-3.18365756216,-3.04568132279
-3.63624088233,-3.68879431374
-2.92351271532,-3.0453717512
-3.41898174544,-3.27524680285
-2.78756807689,-2.94949954713
-3.19018069971,-3.25197963577
-2.99920327657,-3.03879782171
-3.3166053787,-3.20237860442
-3.51296447959,-3.50787788913
-2.92287221357,-3.05955789921
-3.5906484545,-3.57014678097
-3.7219783363,-3.76143468298
-3.62252223896,-3.61648453073
-3.32317278299,-3.20840359384
-3.39655082976,-3.42439411978
-3.327251665,-3.28418105212
-3.27089003224,-3.16821075919
-3.5674363651,-3.56474344637
-3.72274175669,-3.72408612453
-3.72098483014,-3.71552747403
-3.56919329165,-3.52569678974
-3.45598839739,-3.40147813087
-3.51065242619,-3.53253449354
-3.10113082376,-3.16437216882
-3.32459803627,-3.35133216614
-3.82040864172,-3.83125055547
-3.50479743206,-3.39676758372
-3.42667189877,-3.46405738174
-3.10548776214,-2.92725238538
-3.61032207505,-3.60027384306
-3.44319724306,-3.43035009628
-3.69355175451,-3.68652058124
-3.30524305547,-3.33639321203
-3.77426108704,-3.82677341589
-3.54619117596,-3.56550897078
-3.68195622879,-3.73498881758
-3.49046122253,-3.42667245401
-3.38718030235,-3.3672313906
-3.74857518906,-3.78824008557
-3.68569399656,-3.73286045053
-3.79790538466,-3.90765985035
-3.37889033618,-3.3142969484
-3.51527653299,-3.47103329645
-3.0845367159,-3.19965788072
-3.40857498589,-3.4276921654
-3.65986056418,-3.66114498525
-3.61470034457,-3.60619529096
-3.61765289972,-3.58062904036
-3.83200058963,-3.91567770973
-3.476125013,-3.4570602162
-3.26448981332,-3.11905265055
-3.65735636749,-3.60519129714
-3.58272813832,-3.59740594931
-3.4317906531,-3.46157222869
-3.6133600051,-3.58531569446
-3.22593810617,-3.21377492958
-3.26279532609,-3.29059559033
-3.34532206449,-3.20184256599
-3.65058066967,-3.63647155423
-3.70402727763,-3.71716922148
-3.50189588715,-3.52447716469
-3.0305824135,-2.9906292012
-3.14795682266,-3.2035712686
-3.16477589774,-2.97038411861
-3.46410085687,-3.40841048022
-3.16324859587,-3.22837939735
-3.63501088906,-3.6484187808
-3.75314917969,-3.77890914571
-3.7918591413,-3.78851355304
-3.61533726851,-3.69932001923
-3.53845465646,-3.48845232031
-3.71824056852,-3.76898849549
-3.39091449231,-3.36530686622
-3.34195602561,-3.35150692431
-3.05006031295,-3.1317100919
-3.41076412065,-3.42961182389
-3.30838775392,-3.34296045811
-3.69083568647,-3.68978684247
-3.50552688652,-3.44969620559
-3.53682064856,-3.48554903311
-3.24081322996,-3.28307842323
-3.16915416726,-2.97369386004
-2.76885359784,-2.9240072014
-3.78902950479,-3.8200797551
-3.43100590157,-3.1645920833
-3.23860276405,-3.00892041951
-3.24234053182,-3.14161647314
-3.37657828278,-3.40977306747
-3.3015052877,-3.34006612247
-3.79416761689,-3.88804658046
-3.7606882979,-3.77536158994
-3.2402743157,-3.29370887086
-2.90415773451,-3.02142106706
-3.17648499194,-3.08710984232
-3.60363175213,-3.61347398076
-3.65495536138,-3.68421681871
-3.44588102535,-3.45969069355
-3.59347809101,-3.59002287097
-3.52464706039,-3.55930189645
-3.41681394182,-3.4527789894
-3.69629601613,-3.68449196205
-3.1234388208,-2.94321237066
-3.34751119925,-3.20441253237
-3.56364758709,-3.50310359463
-3.43431778538,-3.51490055034
-3.52781827224,-3.55278906312
-3.65810363763,-3.67209276313
-3.65545000891,-3.66178089443
-3.28588807467,-3.30515534746
-3.68948277457,-3.69944256828
-3.40808033836,-3.4003282117
-3.71728500484,-3.69259099577
-3.39208192735,-3.40766947676
-3.74124436439,-3.8359460675
-3.6126872176,-3.622530321
-3.62517586769,-3.63218934258
-3.43321636747,-3.45967849018
-3.27764911874,-3.32642470854
-3.41560688414,-3.44071269932
-3.00530053017,-2.86747786297
-3.43444428183,-3.38145614596
-3.38922000508,-3.40831121387
-3.58349721542,-3.62042637474
-3.45260363402,-3.33718175421
-3.86221229153,-4.01464193822
-3.15995964765,-2.95817708046
-3.45543327054,-3.39883567
-3.73818861865,-3.72279793821
-3.0664627386,-3.09039584671
-3.50607843556,-3.49515487395
-3.4987511887,-3.47074522019
-3.07784639298,-3.09912771257
-3.5721458468,-3.49486730569
-3.71488757654,-3.72203142652
-3.44165218786,-3.41499546854
-3.52029530427,-3.48741270471
-3.91578539595,-3.97602552997
-3.46582341876,-3.43752548728
-3.41572980277,-3.3893056932
-3.17429585718,-3.08553222563
-3.29474620121,-3.33757292963
-3.22143691801,-3.00746512445
-3.49819606185,-3.4675338971
-3.58177257463,-3.56271640805
-3.32710223297,-3.35545231309
-3.44320082087,-3.39129994775
-3.57134448394,-3.58799175508
-3.67912659227,-3.72258528536
-3.33379255589,-3.36208694382
-3.46085773663,-3.46862899736
-3.78684037002,-3.81710662042
-3.07796931161,-3.1930151021
-3.18196307493,-3.22393101685
-3.84370968383,-3.87971436126
-3.60562516578,-3.57399243507
-3.50698656682,-3.39998317711
-3.8501881354,-3.96908628791
-3.6703360873,-3.72047773649
-3.46788963488,-3.48728176906
-3.41307617405,-3.43694013707
-3.55590327869,-3.51758281904
-3.40610307494,-3.31757118489
-3.62079759817,-3.62738192436
-3.27012615077,-3.30515734999
-3.90124089289,-3.92825103958
-3.0328944669,-3.11885226845
-3.00434496648,-3.09949228537
-3.7001191588,-3.69661514638
-3.76728966811,-3.80522252721
-3.47020168828,-3.44195614631
-3.21391395004,-3.26233716372
-3.26715226447,-3.03473098335
-3.74197381885,-3.77978262092
-3.75326852052,-3.87997231828
-3.51515003654,-3.59387956863
-3.34082445414,-3.26598455205
-3.61519141429,-3.57796545718
-3.68026174156,-3.62484894274
-3.15779184403,-3.21932682005
-3.57508225171,-3.58404756744
-3.7725041605,-3.78776582126
-3.61752640327,-3.70193352738
-3.41295325541,-3.43149444126
-3.26667894808,-3.12136162411
-3.56819620768,-3.59743424898
-3.54893017958,-3.55989643759
-3.29417446303,-3.33574341086
-3.29026634419,-3.30985993171
-3.63560038057,-3.65955160398
