Predicted Value,Expected Value
-3.2379622623,-3.13793890082
-3.15398531269,-3.25381559764
-3.61738054905,-3.58031096272
-3.49110530209,-3.4416346527
-3.17431718832,-3.21529328409
-3.47239082304,-3.44421773142
-3.51264583985,-3.50240560669
-3.29024501305,-3.17485729137
-3.58950383613,-3.63701529
-3.82490625207,-3.9444881043
-3.19236983448,-3.25408305132
-3.73140934302,-3.79285269559
-3.63405532538,-3.6184812413
-3.29093913169,-3.1681967154
-3.41485961399,-3.32658334397
-3.63636380096,-3.62553192668
-3.72986071001,-3.77700120021
-2.99996669696,-3.0961731494
-3.50093674565,-3.537885447
-3.0471077578,-3.0771460621
-3.51536190789,-3.4926213461
-3.34596256624,-3.29130308767
-3.45271720249,-3.40097862199
-3.32098364823,-3.20639083052
-3.54378848967,-3.58965705123
-3.18634134445,-3.22831554845
-3.46518291701,-3.41060425398
-3.65297809796,-3.59872863733
-3.30570754944,-3.24924783873
-3.83378570975,-3.9171087635
-3.12794000896,-3.14051747547
-3.64888260462,-3.65414894339
-3.08999346774,-3.15801662022
-3.30008003441,-3.06618546279
-3.59117538778,-3.54803623462
-3.10922552991,-3.04329736025
-3.60801002165,-3.61857859729
-3.4211708802,-3.27732716759
-3.61323708646,-3.6582424675
-3.36450985993,-3.23664065011
-3.59829434111,-3.61146927571
-3.00311139541,-2.86603808519
-3.24577533427,-3.16829135381
-3.02401500922,-2.98611042001
-3.00748966493,-2.86888840951
-3.52528756215,-3.53439465263
-3.8292880994,-3.85839210417
-3.46705341202,-3.37923991652
-3.63581225192,-3.59645803294
-2.90634686928,-3.02301982534
-2.99450994512,-3.12076639662
-3.46964656143,-3.44499539106
-3.63457868085,-3.65171247959
-3.54884122688,-3.5879854453
-3.7738570724,-3.81646415109
-3.51419447286,-3.47259410967
-3.02915669913,-3.06356825864
-3.75782637564,-3.75025550296
-3.61155206831,-3.57863584885
-3.48453789781,-3.43396918919
-3.6696632998,-3.62958858648
-3.64126900377,-3.61910860688
-3.39091807012,-3.33108834951
-3.38221462023,-3.40747547199
-3.25886587611,-3.25050682946
-3.22706443303,-3.182873591
-3.6484769098,-3.63318819509
-3.33884361292,-3.2367804862
-3.80324279568,-3.8323212074
-3.71488399873,-3.78939876511
-3.44150275583,-3.45555571353
-3.26870089748,-3.16624199373
-3.8033621365,-3.9423234147
-3.58134036641,-3.51769293843
-3.30591584297,-3.21957469627
-3.28367760876,-3.16933364044
-3.66500225409,-3.63678882514
-3.55657606619,-3.60681188721
-3.77043794437,-3.79096233332
-3.14060466684,-2.95193969272
-3.87225918425,-3.93670445183
-2.92506134833,-3.06139108427
-3.67649947694,-3.69127901957
-3.6702507124,-3.68199650366
-3.01868117601,-3.14066501155
-3.54820072512,-3.54217322771
-3.25952770901,-3.28994420132
-3.76766139701,-3.71418424721
-3.61688947933,-3.60923019799
-3.64671998326,-3.64079592469
-3.145105855,-3.14815620124
-3.51859723922,-3.48405943288
-3.00215583172,-3.09783255201
-3.60036055723,-3.68695788232
-3.34100046192,-3.37355177784
-3.35894586387,-3.38621887025
-3.52671327652,-3.53474539122
-3.41745444357,-3.44212002312
-3.59902379557,-3.60340284578
-3.62357622444,-3.61752736452
-3.79142693308,-3.82684688169
-3.62757329599,-3.63683586807
-3.37124444958,-3.2709775707
-3.50858621007,-3.50066998548
-3.61271950335,-3.57762194364
-3.52125086795,-3.54707392268
-2.86685169505,-3.00434277636
-3.23156204338,-3.11782017195
-3.65045417322,-3.74395061757
-3.73674675404,-3.76440216136
-3.32009684811,-3.36461583777
-3.38452667363,-3.40843941812
-3.5503934377,-3.51401399842
-3.58176899682,-3.62784079924
-3.66333070245,-3.70117742957
-3.38435066584,-3.32387189972
-3.53941022015,-3.58510731534
-3.46909669256,-3.51133744284
-3.62581636944,-3.63108853795
-3.15867864414,-3.16568385976
-3.60754552768,-3.6180601471
-3.26784638312,-3.20426851277
-3.16150828066,-3.08079732369
-2.99232081035,-3.11900417735
-2.87122996457,-3.00718541186
-3.57289311695,-3.58169184345
-3.46976948007,-3.38378438078
-3.01649204125,-3.13888500616
-3.3882644414,-3.42010379739
-3.35314753669,-3.38097974491
-3.08517721765,-3.15955422856
-3.27888268981,-3.3132537305
-3.23358399278,-3.13434272174
-3.39856395673,-3.35720100823
-3.86612398818,-3.86996990199
-3.69302482123,-3.69319934944
-3.19069828283,-2.98184191343
-3.52424136557,-3.44578649914
-3.13025206236,-3.24275785433
-3.54557360979,-3.54364734875
-3.53667121652,-3.56228289088
-3.28656086217,-3.16353090323
-3.4822222666,-3.56462082352
-3.47726016228,-3.45335191312
-3.67681453888,-3.77871890882
-3.76279205777,-3.77136141177
-3.44865399491,-3.47870333417
-3.59993192683,-3.56055745103
-3.44833893297,-3.39610719408
-2.89746741159,-2.90368180083
-3.53033861917,-3.50224789341
-3.17478168229,-3.12123457208
-3.67462540411,-3.77570861731
-3.13244119712,-3.24503612816
-2.89965654635,-2.90504182776
-3.00980171833,-3.0512415152
-3.42688377012,-3.37253435332
-3.25293897358,-3.14053770526
