Predicted Value,Expected Value
-9.62386174537,-9.5830058817
-9.53691481341,-9.56468949302
-9.46005445483,-9.52021427064
-9.64449062472,-9.57577100015
-9.48387127246,-9.52706726541
-9.33408940561,-9.33054323016
-9.42597325313,-9.46423635894
-9.39873945893,-9.42563640328
-9.33230339143,-9.31732701195
-9.40669401392,-9.44165832625
-9.60217996019,-9.59296673704
-9.6137312351,-9.58186978702
-9.30964759257,-9.21387038645
-9.47145443708,-9.51626590403
-9.35077422425,-9.34802180228
-9.46912718913,-9.50520218949
-9.65136710401,-9.57860084921
-9.3028493648,-9.18415665797
-9.31854873448,-9.22617434978
-9.33474100921,-9.32195143154
-9.45753858552,-9.50824766359
-9.61535435632,-9.59008886991
-9.53373823627,-9.55405273818
-9.31595982404,-9.23302074219
-9.32669909845,-9.3082412099
-9.64766720187,-9.57815644011
-9.3946261968,-9.4231722675
-9.63272196446,-9.57577016098
-9.42213956226,-9.46731955477
-9.31765848245,-9.26614286913
-9.62664838143,-9.58042829725
-9.4290624745,-9.46973398349
-9.53211782938,-9.5725381039
-9.62873698093,-9.58333604614
-9.64742855343,-9.57655449311
-9.30872522223,-9.20326298785
-9.32875478194,-9.27665938306
-9.32628614328,-9.29506519665
-9.45393994897,-9.50192145851
-9.49718729847,-9.52391447851
-9.60461757797,-9.59354775797
-9.39327655666,-9.41889066956
-9.5352534837,-9.5611205704
-9.39923976986,-9.4264896388
-9.54031822041,-9.5656702475
-9.53170487422,-9.57486796556
-9.40689173953,-9.44219316487
-9.40813100983,-9.44317832098
-9.39107758732,-9.413475637
-9.61980481814,-9.57583366624
-9.63396123476,-9.58102681685
-9.43200040322,-9.47275043614
-9.45243901617,-9.49883477308
-9.38381388126,-9.40009674021
-9.54932973216,-9.56087510835
-9.35332221187,-9.36480356201
-9.60875385416,-9.58566880203
-9.62656102565,-9.58010149612
-9.39900112143,-9.42850898074
-9.50077683078,-9.53087589934
-9.35429981967,-9.34868795838
-9.3090742405,-9.21911726345
-9.31294885419,-9.23025977524
-9.64499093565,-9.57629826476
-9.32047422275,-9.281820478
-9.61934543003,-9.58898493009
-9.46422893951,-9.51217247072
-9.61643051538,-9.57694119184
-9.62606071472,-9.57929006594
-9.55275806987,-9.55621980442
-9.39695344475,-9.42344682925
-9.41176697509,-9.44758547914
-9.34085551507,-9.31573181933
-9.5544976511,-9.56549654141
-9.42914983027,-9.4715659767
-9.30942325877,-9.23642762801
-9.50066646094,-9.54114109118
-9.53265025863,-9.54933807099
-9.5506793723,-9.55805704333
-9.31777494247,-9.24773692949
-9.31417380986,-9.21248554912
-9.31158489942,-9.21996842811
-9.60240429399,-9.59273359748
-9.34992489505,-9.3395815739
-9.33741727542,-9.3086047554
-9.35928542507,-9.37136901016
-9.39656350365,-9.42543195395
-9.4078923614,-9.44339047377
-9.46391475389,-9.5160571247
-9.6203460519,-9.59115705647
-9.32373815566,-9.25108196108
-9.64866782373,-9.5793549302
-9.38623718441,-9.40491914818
-9.49529091445,-9.53738189274
-9.32972438293,-9.30157455575
-9.31479880526,-9.25001094068
-9.53370611795,-9.58020857215
-9.50027651985,-9.53017697338
-9.49822884316,-9.53968540162
-9.30443765337,-9.17878316399
-9.38237688535,-9.39881762706
-9.46731207071,-9.50403014122
-9.45672658502,-9.50019146064
-9.56385818112,-9.55675387547
-9.41276759696,-9.44878105344
-9.64379258818,-9.57911075745
-9.34190256988,-9.3433930303
-9.46507826872,-9.50949252245
-9.52744031943,-9.55647008242
-9.35734811822,-9.36812784859
