Predicted Value,Expected Value
8.01731480806e-05,7.428946726e-05
7.43002796035e-05,7.124440157e-05
7.31734592735e-05,7.149362106e-05
1.84673362507e-05,1.779971954e-05
7.39025029687e-05,7.149021759e-05
6.81128070795e-05,6.852667326e-05
1.26238667275e-05,1.453920394e-05
1.7486182954e-05,1.6382408e-05
8.94567888566e-05,9.106305007e-05
8.45225293124e-06,1.896785946e-05
2.92677027931e-05,2.363980204e-05
7.27218665112e-05,7.130161796e-05
6.35678338221e-05,6.934843887e-05
7.36875039878e-05,7.152781494e-05
8.35031041466e-05,8.447366766e-05
7.52902917605e-05,7.078143483e-05
8.89230111681e-05,9.439568845e-05
9.06501187611e-05,9.541003325e-05
8.24893518369e-06,1.72125425e-05
7.95656182382e-05,7.436902259e-05
6.97910982666e-05,6.810337946e-05
2.89198652057e-05,2.334884219e-05
8.04713866947e-05,7.392439806e-05
8.45724543047e-05,8.366707891e-05
8.37319862611e-05,8.196763541e-05
8.97596446249e-05,9.762653303e-05
1.90493017261e-05,1.936335115e-05
1.68645484781e-05,1.40905878e-05
7.3376777021e-05,7.128409464e-05
9.16415421046e-05,9.871132264e-05
6.83763339212e-05,6.769118737e-05
7.19287791351e-05,7.212480021e-05
8.98442954447e-05,9.254945638e-05
7.51369130603e-05,7.052449459e-05
8.44588116504e-05,8.061147107e-05
8.2950537625e-05,8.3520149e-05
7.01389358541e-05,6.828644825e-05
9.0884246649e-05,9.61606678e-05
2.32503144761e-05,1.787733387e-05
7.56384694219e-05,7.05449954e-05
7.39216318757e-05,7.111544924e-05
7.46279171714e-05,7.102298408e-05
9.01523969863e-05,0.0001057059426
8.4766913192e-05,8.398550339e-05
2.78887728616e-05,2.045542235e-05
2.37083002051e-05,2.053422468e-05
8.41503029895e-05,8.222586598e-05
9.05860080349e-05,0.0001008749284
1.1837172318e-05,1.335398913e-05
8.8580419354e-05,9.990427133e-05
6.19944450032e-05,6.933504173e-05
7.19698593222e-05,7.200377228e-05
2.78402450007e-05,1.871367028e-05
6.63587736426e-06,1.3020141e-05
9.01088933989e-05,9.812915164e-05
2.82674205894e-05,2.067076213e-05
6.15569993678e-05,6.907004245e-05
9.04159908733e-05,9.46499774e-05
7.44143293771e-05,7.130050194e-05
8.49613720793e-05,8.430527016e-05
8.21471802021e-05,8.299094254e-05
6.11578115465e-05,6.913451963e-05
6.77982455259e-05,6.968148703e-05
1.90801118664e-05,1.929912391e-05
8.33815902937e-05,8.298125171e-05
9.042626092e-05,9.4595707e-05
6.83431003806e-05,6.91941414e-05
2.90732439059e-05,2.353768315e-05
7.42109445842e-05,6.927481184e-05
7.87725308621e-05,7.528668114e-05
1.24499479337e-05,1.451507415e-05
6.96812901991e-05,6.909725261e-05
6.91181135568e-05,6.883104898e-05
1.78956408222e-05,1.638689777e-05
7.33602064939e-05,7.119005025e-05
7.43746603765e-05,7.169145164e-05
1.78251616812e-05,1.526874334e-05
6.97308891724e-05,6.85299354e-05
8.85510204001e-05,9.898790913e-05
7.43399486041e-05,7.077328607e-05
1.18782525051e-05,1.332680854e-05
2.3465313457e-05,1.789859597e-05
8.79676437383e-05,9.749327817e-05
9.16210020111e-05,9.887727931e-05
1.70795474589e-05,1.409917189e-05
6.86516090415e-05,6.970468039e-05
1.3470770231e-05,1.723233118e-05
8.04816567415e-05,7.387689156e-05
7.87789238288e-05,7.449682918e-05
8.45827913968e-05,8.115012521e-05
6.9825810039e-05,6.937443934e-05
2.34242332699e-05,1.795040079e-05
8.31641254193e-05,8.363213504e-05
7.54248816276e-05,7.082501405e-05
8.46823294175e-05,8.322193651e-05
6.27811394127e-05,6.9352618e-05
1.22260900926e-05,1.337838763e-05
7.25787578578e-05,7.099737709e-05
7.39396135893e-05,7.147921425e-05
8.57222806219e-05,8.370595266e-05
6.11680815932e-05,6.910842003e-05
8.45392207641e-05,8.267944605e-05
1.30524535026e-05,1.581141085e-05
8.52557761066e-05,8.126046272e-05
8.05415257616e-05,7.464374555e-05
6.87100668751e-05,6.908636226e-05
6.71369420494e-05,6.998452133e-05
7.89284679422e-05,7.504804496e-05
8.33791244002e-05,8.37366137e-05
8.55791719684e-05,8.30276264e-05
6.9457432358e-05,6.93205805e-05
6.69527532089e-05,6.994199603e-05
6.80093674267e-05,6.780627656e-05
6.25572815716e-05,6.930172045e-05
6.93727815382e-05,6.841049062e-05
6.69616120692e-05,6.994655892e-05
8.92726000161e-05,9.064957607e-05
7.81905653867e-05,7.527824506e-05
6.9562216152e-05,6.725672605e-05
8.27202868172e-05,8.377568276e-05
1.20316312053e-05,1.336339509e-05
7.9381496443e-05,7.506373641e-05
7.31132501793e-05,7.194815173e-05
7.75880598178e-05,7.540158729e-05
8.31949355597e-05,8.340545038e-05
6.13625404805e-05,6.909002731e-05
7.87328618615e-05,7.579445499e-05
8.37475020812e-05,8.44183408e-05
2.76252460199e-05,1.8611851e-05
6.71061319091e-05,7.007690384e-05
8.54296949003e-05,8.1587236e-05
7.83722883337e-05,7.542970354e-05
6.8735852742e-05,6.805615204e-05
7.79936406059e-05,7.514234186e-05
7.79334315118e-05,7.580102617e-05
8.11468539053e-06,1.89252713e-05
6.31495170937e-05,6.934380509e-05
8.45480796244e-05,8.254313625e-05
2.9043844952e-05,2.225101869e-05
7.39665466496e-05,6.997188617e-05
7.45587821717e-05,6.962378202e-05
7.69561552951e-05,7.594116152e-05
7.01286658073e-05,6.833884595e-05
6.95261602384e-05,6.858705408e-05
7.96067654706e-05,7.5038615e-05
8.83257513725e-05,9.877265156e-05
7.5224498684e-06,1.721007233e-05
6.35370236818e-05,6.945916983e-05
8.44995517635e-05,8.2889288e-05
7.41660298104e-05,7.063792244e-05
7.00291277865e-05,6.922502442e-05
1.18474423648e-05,1.334773833e-05
1.80387494756e-05,1.646261504e-05
8.98938944181e-05,9.777112416e-05
8.37807781151e-05,8.349366933e-05
8.48306307156e-06,1.890924002e-05
6.84571501542e-05,6.97113407e-05
8.38204471157e-05,8.298095861e-05
6.97602881263e-05,6.827808691e-05
8.51955670125e-05,8.161329919e-05
7.28026156989e-05,7.054805362e-05
7.08500423297e-06,1.424567759e-05
8.32282115935e-05,8.255799042e-05
7.85550659877e-05,7.513694208e-05
8.29940837057e-05,8.291271039e-05
6.49276871084e-06,1.298895012e-05
6.8367475061e-05,6.79606207e-05
8.56432826947e-05,8.153204822e-05
7.27629466983e-05,7.109491537e-05
8.00736100598e-05,7.407829379e-05
7.95221146508e-05,7.532363284e-05
1.8312546364e-05,1.926675076e-05
2.87459464119e-05,2.320533955e-05
8.40900938954e-05,8.25550328e-05
8.35363801804e-05,8.385976367e-05
1.90698418196e-05,1.932207118e-05
7.2825621686e-05,7.127009913e-05
7.81675593996e-05,7.538902879e-05
8.54399649471e-05,8.153355569e-05
8.49869364463e-05,8.253466383e-05
7.51907537397e-05,7.120408813e-05
7.98292121252e-05,7.450629033e-05
6.23525526375e-05,6.936502429e-05
7.94123065833e-05,7.495272545e-05
8.89884660356e-05,0.0001013635228
8.56036136941e-05,8.191684583e-05
7.48620450593e-05,7.065667428e-05
8.47219984181e-05,8.29131492e-05
7.60171171497e-05,7.064476953e-05
7.94810344637e-05,7.552918733e-05
8.98148294456e-05,0.0001034613703
6.27209303185e-05,6.936699115e-05
8.51300450997e-05,8.315155767e-05
8.53156451267e-05,8.3624804e-05
9.06309898541e-05,9.502493098e-05
6.93625114914e-05,6.846238176e-05
6.79888273332e-05,6.792873978e-05
6.83175360136e-05,6.848125801e-05
8.45378095776e-05,8.260057944e-05
8.92913888492e-05,9.541100443e-05
9.11488446032e-05,0.0001032246825
8.87043991003e-05,9.993074056e-05
6.90391156296e-05,6.955876912e-05
7.83644841805e-05,7.546962904e-05
8.55586318749e-05,8.319975641e-05
2.32899834767e-05,1.907908581e-05
7.42900095567e-05,7.128851181e-05
7.37080440814e-05,7.144848303e-05
6.79927044132e-05,6.967129079e-05
8.83565615129e-05,9.848783807e-05
8.09304435362e-05,7.486684054e-05
9.14573532641e-05,9.800429118e-05
2.90643850456e-05,2.221428706e-05
9.08343076017e-05,9.601078992e-05
8.35735832875e-05,8.39837346e-05
7.00585267404e-05,6.904559173e-05
8.43485964636e-05,8.420561984e-05
6.79594283794e-05,6.832377387e-05
8.29441446583e-05,8.356799881e-05
6.67695755136e-06,1.29937221e-05
7.96857633978e-05,7.560140051e-05
7.81572893529e-05,7.545126632e-05
8.27893547716e-05,8.269047171e-05
7.91883816969e-05,7.459481645e-05
6.96122222447e-05,6.957314505e-05
8.43730136372e-05,8.397956639e-05
6.73197197034e-05,7.004731182e-05
7.4116090763e-05,7.115713375e-05
7.17856704816e-05,7.19203432e-05
7.39960126487e-05,7.158311203e-05
6.97103490789e-05,6.862155342e-05
7.81176203523e-05,7.598494812e-05
1.7630702794e-05,1.524467485e-05
6.19048369553e-05,6.91519419e-05
7.97498070787e-05,7.456688301e-05
1.34693590445e-05,1.889005611e-05
8.23313690426e-05,8.326938586e-05
1.78545606351e-05,1.643509398e-05
2.7685455114e-05,1.937763807e-05
7.3394851221e-05,7.021075186e-05
6.79119552255e-05,6.998541191e-05
7.49116440327e-05,7.065066325e-05
8.4603264445e-05,8.3412547e-05
7.03128546478e-05,6.837139363e-05
7.41404654433e-05,7.013192726e-05
6.82969959201e-05,6.857822623e-05
6.45168852375e-06,1.301535837e-05
1.20213611586e-05,1.336965059e-05
1.34502301375e-05,1.726500998e-05
1.30216433623e-05,1.584527578e-05
1.22055499991e-05,1.33911769e-05
8.51250208263e-05,8.487737377e-05
6.77444293985e-05,6.842712205e-05
8.60513293763e-05,8.171986574e-05
8.95807015577e-05,0.0001033066096
9.07099877813e-05,0.0001016283743
2.26286800002e-05,1.574224707e-05
8.26806409073e-06,1.897570092e-05
1.23054280938e-05,1.57812531e-05
6.87588587291e-05,6.965430196e-05
6.96607501055e-05,6.91792944e-05
6.88027529891e-06,1.426219514e-05
9.14368131706e-05,9.81711215e-05
7.04577145617e-05,6.89573918e-05
8.31386035456e-05,8.382819911e-05
6.89494405363e-05,6.770364071e-05
9.0496740061e-05,9.461479633e-05
1.18577124116e-05,1.334113672e-05
7.02338567206e-05,6.91673292e-05
7.35815059551e-05,7.129194149e-05
