Predicted Value,Expected Value
8402.96852425,8402.992959
8402.97401952,8402.966982
8402.51519274,8402.477118
8402.99921124,8403.020918
8402.34563052,8402.355647
8403.08566373,8403.06388
8402.965366,8402.964688
8402.76921011,8402.750374
8402.34630499,8402.352218
8402.48601324,8402.470051
8402.80851517,8402.83533
8403.07922581,8403.063762
8402.96604048,8402.962432
8402.67461414,8402.700404
8402.41005035,8402.410726
8402.45107866,8402.429501
8402.72701399,8402.730871
8402.49128335,8402.471728
8402.46328002,8402.433248
8402.66037857,8402.677641
8402.52120743,8402.540333
8402.33256251,8402.344534
8402.73821199,8402.735772
8402.72446951,8402.728187
8402.82633223,8402.836862
8402.95954185,8402.990379
8402.97961852,8402.969636
8402.82783972,8402.861208
8402.61531006,8402.589904
8402.69733903,8402.710551
8402.75327976,8402.750927
8403.08871824,8403.063358
8402.66561505,8402.702229
8402.61463559,8402.592885
8402.52020406,8402.541639
8402.7661556,8402.751198
8403.02057615,8403.023152
8402.83766105,8402.861835
8402.83791983,8402.810123
8402.38970338,8402.38701
8402.58176746,8402.572161
8402.35479406,8402.354264
8402.96225078,8402.993116
8402.49637232,8402.477532
8402.36850292,8402.386139
8402.60021863,8402.588893
8402.51197378,8402.477031
8402.49856019,8402.469711
8402.80680961,8402.830838
8402.59699967,8402.588841
8403.00513914,8403.024206
8402.76396773,8402.759604
8402.36934184,8402.383728
8402.81028145,8402.807276
8402.87125716,8402.888802
8402.92465128,8402.912063
8402.78024367,8402.753822
8402.84360563,8402.860771
8402.80529621,8402.83526
8402.44359296,8402.42969
8402.3407667,8402.305809
8402.96331486,8402.962954
8402.98190422,8403.017143
8402.98244787,8402.997384
8402.36528396,8402.386061
8402.51146375,8402.480587
8402.88280075,8402.889477
8402.67765197,8402.704299
8402.79364889,8402.800154
8402.86565816,8402.886784
8402.53291546,8402.541361
8402.54293107,8402.56765
8402.66394311,8402.67413
8402.99512564,8403.014529
8402.96565087,8402.990018
8402.77159015,8402.75233
8403.05869982,8403.061298
8402.50502583,8402.480401
8402.81926385,8402.810618
8402.80552137,8402.802253
8402.40106794,8402.407331
8402.50519028,8402.480739
8402.76242661,8402.755149
8402.37239635,8402.382922
8402.72888401,8402.737124
8402.76022771,8402.74771
8403.04535431,8403.046696
8402.52207407,8402.5473
8402.84258557,8402.866675
8402.32905867,8402.304038
8402.35434474,8402.314405
8402.5695494,8402.575352
8402.34308603,8402.352137
8402.97672845,8402.969974
8402.48906775,8402.469806
8402.76769672,8402.755251
8402.80835073,8402.83498
8402.88345853,8402.891839
8402.50824479,8402.480492
8402.57803847,8402.576076
8402.52358747,8402.542277
8402.34669459,8402.309111
8402.52767307,8402.55002
8402.86327813,8402.88498
8402.61158107,8402.593908
8402.5546391,8402.567999
8402.96886983,8402.990086
8402.66808942,8402.645348
8402.68003201,8402.706413
8402.4098859,8402.409609
8402.6608886,8402.674413
8402.62245018,8402.59667
8402.71870606,8402.72574
8402.54615003,8402.567695
8402.88058515,8402.887843
8402.60276311,8402.591772
8402.38088542,8402.384032
8402.60225309,8402.596414
8402.70666702,8402.709814
8402.34546607,8402.355016
8402.89567659,8402.889772
8402.84242113,8402.866192
8403.07990028,8403.061391
8402.55734803,8402.571782
8402.97061942,8402.970275
8402.35263918,8402.308249
8402.64551229,8402.637994
8402.96247593,8402.965032
8402.66477613,8402.704059
8402.56667602,8402.570286
8402.48568435,8402.469458
8402.33143871,8402.306285
8402.56378595,8402.571915
8402.7143026,8402.731346
8402.80468245,8402.804572
8402.46006106,8402.433174
8402.50325956,8402.515262
8402.82570177,8402.810799
8402.92040123,8402.905085
8402.66883401,8402.702283
8402.52867644,8402.548197
8402.35212915,8402.311639
8402.34263671,8402.311754
8402.80824699,8402.80164
8402.72839067,8402.734823
8402.9697805,8402.973016
8402.67986756,8402.705832
8402.39275789,8402.386456
8402.5180221,8402.517144
8402.67188852,8402.701771
8402.95993145,8402.962687
8402.50580404,8402.518593
8402.68987002,8402.702524
8402.64212888,8402.637629
8403.00548472,8403.02072
8402.96009589,8402.962892
8402.80484689,8402.804834
8402.66834067,8402.700745
8403.06107986,8403.062969
8402.89500211,8402.892586
8403.0758424,8403.063126
8402.76870009,8402.754144
8402.33738329,8402.305437
8402.62905255,8402.597816
8402.87109272,8402.88818
8402.82875629,8402.810606
8402.97196837,8402.965023
8402.65773035,8402.637198
8403.0311018,8403.042513
8402.51969403,8402.544943
8402.50849604,8402.540726
8402.50715299,8402.512423
8403.01395922,8403.040091
8402.40888254,8402.410918
8402.6485668,8402.637765
8402.5004302,8402.474955
8402.41361489,8402.405763
8402.66570938,8402.642387
8402.33160316,8402.306691
8402.60971106,8402.588089
8402.5000406,8402.515182
8402.81604489,8402.810527
8402.53683662,8402.5485
8402.83852769,8402.869021
8402.91751117,8402.906394
8402.33748703,8402.349496
8402.99361224,8403.01862
8402.35274291,8402.352383
8402.9810712,8402.992702
8402.89516656,8402.893148
8402.32950799,8402.344984
8402.51342056,8402.545534
8403.0367008,8403.04468
8402.33594591,8402.345103
8402.85074575,8402.867593
8402.72024718,8402.729484
8402.57005943,8402.57115
8402.66332935,8402.6397
8402.49788571,8402.472157
8402.50614962,8402.51447
8402.91412776,8402.905635
8402.75428313,8402.750251
8402.57449062,8402.574415
8402.9221068,8402.909292
8402.9780774,8402.964768
8403.04313872,8403.044809
8403.08193474,8403.067136
8402.58125743,8402.576157
8402.45616763,8402.437109
8402.57549398,8402.572742
8402.60309201,8402.594457
8402.34382122,8402.305577
8402.70294015,8402.726683
8402.34060225,8402.305505
8402.55564247,8402.566972
8402.97129389,8402.96753
8402.35325294,8402.34887
8402.68096527,8402.645715
8402.71565155,8402.726279
8402.91616222,8402.911575
8402.67819562,8402.67925
8402.71481263,8402.728013
8402.58109298,8402.575343
8402.98428426,8403.019173
8402.72584618,8402.731748
8402.72363059,8402.730146
8402.3440894,8402.350249
8402.40599247,8402.412945
8402.65123171,8402.674189
8402.33178429,8402.303135
8402.41532046,8402.41107
8402.91532329,8402.913568
8402.81394973,8402.837482
8402.82900753,8402.860301
8403.0344852,8403.043021
8402.83226012,8402.840233
8402.9529835,8402.965054
8402.45717099,8402.436131
8402.86022361,8402.88558
8402.91023432,8402.907919
8402.84802013,8402.868779
8402.70954252,8402.727542
8402.67121405,8402.704178
8402.46311558,8402.432022
8402.82553733,8402.810516
8402.62007014,8402.59418
8402.88685863,8402.887463
8402.350867,8402.381184
8402.36094711,8402.314957
8402.97972225,8402.998123
8402.34681502,8402.348722
8402.99039328,8403.018566
8402.76344667,8402.747751
8402.84209223,8402.865325
8402.8116304,8402.80192
8402.8807496,8402.888391
8402.97952418,8403.015301
8402.82276769,8402.84032
8402.75633427,8402.750108
8402.97292772,8402.988228
8402.92056568,8402.905735
8402.51460506,8402.539633
8403.0404131,8403.046233
8402.8262118,8402.807427
8402.75582424,8402.753881
8402.38393993,8402.383479
8402.67259662,8402.676435
8402.87582507,8402.884063
8402.92397681,8402.915102
8402.69428452,8402.711008
8403.03143069,8403.043448
8402.49240714,8402.507127
8402.70921363,8402.726176
8402.71719267,8402.730013
8402.67021659,8402.673943
8402.42159393,8402.410353
8402.6549607,8402.671431
8402.36968742,8402.37918
8403.06973337,8403.06422
8403.03277964,8403.038956
8403.09009492,8403.066996
8402.65596407,8402.669792
8402.38410438,8402.384111
8402.82038765,8402.837635
8402.87058269,8402.891539
8402.48279428,8402.469988
8402.50535472,8402.481113
8402.87804067,8402.885378
8402.82732969,8402.864108
8402.52731646,8402.539356
8402.76361111,8402.748552
8402.3688485,8402.381375
8402.71497707,8402.728667
8402.63974884,8402.635449
8402.32600416,8402.304371
8402.40734142,8402.406494
8402.45768102,8402.430846
8402.48890331,8402.469521
8402.49942683,8402.477284
8402.9724784,8402.962555
8402.36357839,8402.380513
8402.66242971,8402.679542
8402.41802939,8402.415882
8402.97225324,8402.990385
8402.49817058,8402.509593
8402.67192215,8402.679423
8402.51647507,8402.54484
8402.66665204,8402.677368
8402.98277677,8402.997917
8403.00243021,8403.020988
8402.50840924,8402.480834
8402.61057771,8402.594946
8402.7199016,8402.733667
8402.50155399,8402.510058
8402.67953867,8402.704829
8402.33510699,8402.347132
8402.81378528,8402.837154
8402.67799755,8402.700902
8402.66011038,8402.639624
8402.96919873,8402.990574
8402.83649323,8402.862987
8402.71514152,8402.729392
8403.09364277,8403.068219
8402.80935409,8402.833183
8402.82859184,8402.810341
8403.07430128,8403.059661
8402.34392495,8402.349644
8402.49595499,8402.507939
8402.82366732,8402.804535
8402.62650806,8402.594324
8402.91361773,8402.908788
8403.02753726,8403.045967
8402.66892835,8402.642471
8402.85140353,8402.869349
8402.65738476,8402.640344
8402.82926632,8402.807267
8402.87566063,8402.883605
8402.33432878,8402.30567
8402.37799535,8402.385446
8402.5150984,8402.541578
8403.00210131,8403.020341
8402.83122313,8402.861706
8402.39768454,8402.406261
8402.56633044,8402.575278
8402.65850856,8402.672164
8403.02193826,8403.043799
8402.5060292,8402.477789
8403.0460121,8403.048634
8402.96530529,8402.99289
8402.50527707,8402.540675
8402.6717577,8402.679079
8402.65094684,8402.640191
8402.7031046,8402.727438
8402.88447859,8402.885491
8402.77040565,8402.759784
8403.0199038,8403.038756
8402.52307744,8402.545746
8402.45938659,8402.437138
8402.65960036,8402.642748
8403.03991976,8403.044743
8403.09126273,8403.065985
8402.34364008,8402.309446
8402.43953507,8402.431442
8402.36817402,8402.384439
8402.65072169,8402.677395
8403.08533484,8403.062761
8402.46276999,8402.438865
8402.81649421,8402.840517
8403.09991624,8403.067765
8402.78040811,8402.754633
8402.87836956,8402.886419
8402.98834214,8403.017261
8402.61429001,8402.598882
8402.67536627,8402.64264
8403.04397764,8403.042753
8402.52680643,8402.542339
8402.68121651,8402.700956
8402.77108012,8402.756317
8402.68597659,8402.704957
8402.4400451,8402.426623
8402.67342964,8402.705703
8402.63392469,8402.670494
8402.76820675,8402.751464
8402.96665424,8402.988345
8402.34347563,8402.309031
8402.65162132,8402.637558
8402.67648415,8402.705246
8402.53732996,8402.550281
8402.60920103,8402.591888
8402.6541658,8402.640268
8402.694959,8402.707929
8402.87720175,8402.887252
8402.34466014,8402.303387
8402.99666676,8403.018353
8402.48855772,8402.47261
8402.81960944,8402.807019
8403.00770031,8403.022853
8402.51020751,8402.512088
8402.91837781,8402.912755
8402.5068241,8402.51164
8402.86666153,8402.885717
8402.82851419,8402.859031
8402.79715273,8402.830666
8402.57787402,8402.575262
8402.80969968,8402.830298
8402.96970876,8402.988171
8402.51714955,8402.542153
8402.96264038,8402.965256
8402.59937971,8402.590572
8402.35224957,8402.35093
8403.07787686,8403.069234
8402.75411868,8402.749274
8402.5296965,8402.541299
8402.81733313,8402.837916
8402.83698657,8402.864318
8402.92311017,8402.908164
8403.07889692,8403.062629
8402.503424,8402.515773
8402.56278259,8402.573208
8402.67919309,8402.708678
8403.0941528,8403.064919
8402.65207064,8402.672035
8402.69225006,8402.704635
8402.52095619,8402.480554
8402.56854603,8402.576748
8402.33465767,8402.306357
8402.39817788,8402.409721
8402.66377866,8402.673801
8402.81977388,8402.807262
8402.79647825,8402.832939
8402.42430286,8402.414917
8402.44919196,8402.431621
8402.49800614,8402.509225
8402.41226594,8402.41197
8402.49290048,8402.508315
8402.67147283,8402.645703
8402.51451827,8402.480364
8402.45751658,8402.429626
8402.34646944,8402.352831
8402.61345108,8402.601254
8402.52918647,8402.544497
8402.55869698,8402.566242
8402.86820265,8402.889402
8402.87176719,8402.885764
8402.42481289,8402.41043
8402.88872864,8402.892997
8402.37071851,8402.387953
8402.81993833,8402.807519
8402.51224196,8402.51877
8402.75122861,8402.751307
8402.84936908,8402.863272
8402.3384904,8402.347795
8402.71819603,8402.728725
8402.45056863,8402.434366
8403.08720485,8403.068079
8402.97395881,8402.995142
8402.49721124,8402.474877
8402.97740292,8402.967253
8402.34196224,8402.315205
8402.34714391,8402.349719
8402.4042869,8402.407393
8402.49766056,8402.512655
8402.45462651,8402.432166
8402.51113486,8402.479977
8402.64823791,8402.637234
8402.54105894,8402.54651
8402.50059464,8402.475311
8402.40904698,8402.411895
8402.85174911,8402.865562
8402.98579765,8403.015034
8402.80586695,8402.799483
8403.03719414,8403.046166
8402.70886805,8402.730093
8403.05853537,8403.060612
8402.52104298,8402.539743
8402.52902202,8402.543914
8402.35817747,8402.354843
8402.3834299,8402.387545
8402.49987615,8402.514731
8402.72141499,8402.728783
8402.69141114,8402.706895
8402.84225668,8402.865751
8402.34602012,8402.312266
8402.68479209,8402.711361
8402.66954211,8402.676693
8402.50852966,8402.517285
8402.44053844,8402.431635
8403.01091927,8403.022922
8402.345268,8402.379171
8402.34359606,8402.348647
8402.74110206,8402.734555
8402.92854472,8402.909413
8402.84276671,8402.862772
8402.75836873,8402.757149
8402.59072619,8402.58978
8402.33239806,8402.344078
8402.50315582,8402.474129
8402.81639048,8402.806942
8402.61617671,8402.597536
8402.8206128,8402.804694
8402.96791049,8402.967238
8402.8150138,8402.802216
8402.6946301,8402.706969
8403.07651688,8403.060806
8402.48900704,8402.510733
8402.49122264,8402.512508
8402.33687327,8402.308505
8402.81918621,8402.85967
8402.46598895,8402.438948
8403.08160585,8403.065792
8402.69683113,8402.728143
8402.80053613,8402.83106
8402.40157797,8402.403634
8402.6451834,8402.637423
8402.97650329,8402.998042
8402.82666112,8402.837458
8403.0348141,8403.044042
8402.36078266,8402.3146
8402.60565318,8402.589783
8402.81073077,8402.837414
8402.6563814,8402.642666
8402.35563298,8402.35145
8402.64274265,8402.672634
8402.97785224,8402.992633
8402.84020553,8402.864384
8402.76531668,8402.753092
8402.93008584,8402.913692
8402.40479693,8402.403689
8402.52446002,8402.517321
8402.80020724,8402.830414
8402.53851446,8402.543589
8402.52426194,8402.539819
8402.49772127,8402.471865
8402.67530556,8402.679878
8402.98045744,8402.96713
8402.71836048,8402.72945
8402.65145687,8402.637301
8402.62023459,8402.595162
8403.07073674,8403.063126
8403.02599614,8403.041994
8402.8094148,8402.799976
8402.51757278,8402.480161
8402.36714293,8402.376582
8402.86040263,8402.867849
8402.78584267,8402.756294
8402.97045497,8402.970038
8402.74126651,8402.735175
8402.91445665,8402.907128
8403.0814414,8403.065209
8402.64019816,8402.670194
8402.95987074,8402.990941
8402.97080055,8402.966905
8402.3575637,8402.314503
8402.84531119,8402.865398
8402.46293444,8402.440915
8402.58783613,8402.592431
8402.66359753,8402.677719
8402.91854226,8402.913625
8402.51493396,8402.540836
8402.88856419,8402.892436
8402.49839574,8402.469447
8402.4639545,8402.429762
8402.96514085,8402.992609
8402.98316637,8402.970135
8402.49653676,8402.477896
8402.54936899,8402.567749
8402.49450231,8402.471795
8402.56532707,8402.576669
8402.37699198,8402.387371
8402.9934478,8403.018294
8402.66259416,8402.679935
8402.65129242,8402.637062
8402.35952051,8402.382586
8402.68157313,8402.711249
8402.34748949,8402.345994
8402.92516131,8402.908691
8402.76142324,8402.756079
8402.9366882,8402.914581
8402.50891927,8402.477234
8403.07446573,8403.060232
8403.06769892,8403.059041
8402.33754774,8402.305737
8403.00481024,8403.023437
8402.7717546,8402.753216
8402.67715863,8402.702732
8402.36061821,8402.31427
8402.91396331,8402.904986
8403.06989782,8403.064918
8402.6369792,8402.670144
8402.37377302,8402.387275
8402.36123198,8402.354444
8402.44664747,8402.428106
8402.8258222,8402.840065
8403.05195668,8403.047269
8402.9686887,8402.993253
8402.46887902,8402.435981
8402.87618169,8402.893993
8402.77058679,8402.753593
8402.56140592,8402.569781
8402.77142571,8402.751525
8403.06413437,8403.062327
8402.98901661,8403.015087
8402.50619364,8402.478155
8402.97379436,8402.994872
8402.60446868,8402.597155
8402.86260365,8402.887384
8402.59648964,8402.592888
8403.02499277,8403.04333
8402.36730738,8402.377191
8402.59327068,8402.592797
8402.9822498,8403.014305
8402.81495309,8402.83547
8403.0288862,8403.04104
8402.37290638,8402.379243
8402.39563339,8402.406426
8402.97090429,8402.995348
8402.70106802,8402.707116
8402.3496884,8402.352914
8402.97768779,8402.99239
8402.65383691,8402.639722
8402.72006605,8402.734499
8402.68884997,8402.708899
8402.35459598,8402.377623
8402.88839975,8402.891928
8402.67902864,8402.708094
8402.82198948,8402.809914
8402.97705734,8402.970437
8402.45971548,8402.440833
8402.88042071,8402.887338
8402.49427715,8402.512131
8402.65477957,8402.675076
8402.38597651,8402.406281
8403.0829548,8403.060913
8402.44513407,8402.43359
8402.97350949,8402.969893
8402.41175591,8402.417081
8402.97463328,8402.992564
8402.49460604,8402.513084
8402.88396856,8402.888453
8402.75598869,8402.755024
8402.51952959,8402.544282
8402.34121602,8402.346284
8402.35154147,8402.378335
8402.56889162,8402.571814
8402.57481951,8402.575995
8402.86056707,8402.868233
8402.93363369,8402.915316
8402.49550567,8402.469932
8402.63714365,8402.670544
8403.0232872,8403.039244
8402.32323452,8402.345454
8402.44580855,8402.429938
8402.54054892,8402.550391
8402.77007676,8402.757621
8402.71887051,8402.726332
8403.07701022,8403.062541
8402.66503491,8402.645521
8402.50197132,8402.480645
8402.97588953,8402.972711
8402.36290392,8402.383587
8402.35070845,8402.346061
8402.47193354,8402.434829
8402.58461716,8402.592355
8402.6165056,8402.599858
8402.63210706,8402.596906
8402.66919653,8402.680544
8402.96054521,8402.988738
8403.04619323,8403.044451
8403.08431478,8403.069365
8402.42719293,8402.413139
8402.87431168,8402.888266
8402.84818457,8402.86927
8402.62566914,8402.596748
8402.81350041,8402.807354
8402.6120911,8402.589899
8402.49805016,8402.472474
8402.64918057,8402.672762
8402.35748605,8402.376425
8402.74432102,8402.734633
8402.50222256,8402.541337
8402.45989662,8402.431949
8402.82520844,8402.81
8402.59954415,8402.59166
8402.37393747,8402.388085
8402.82867864,8402.859416
8402.90158081,8402.906912
8402.96021632,8402.988231
8402.66581312,8402.68002
8402.77651468,8402.757786
8402.59427405,8402.592511
8402.96842052,8402.964565
8402.97701332,8402.994953
8402.5124231,8402.514246
8402.72939403,8402.733141
8402.35784857,8402.353907
8402.81450378,8402.80506
8402.58431194,8402.575425
8402.6493617,8402.669343
8402.97283501,8402.972855
8402.59105509,8402.592482
8402.89822107,8402.892662
8402.89262207,8402.890216
8402.66783064,8402.703548
8402.60665655,8402.588997
8402.45224647,8402.430043
8402.53783998,8402.546434
8402.49212227,8402.469585
8402.54869452,8402.570574
8402.34891019,8402.311551
8402.97124987,8402.992248
8402.71922712,8402.736837
8402.96376417,8402.988795
8402.41819384,8402.41725
8402.90174526,8402.907805
8402.9742877,8402.995724
8402.50110467,8402.472227
8402.9310892,8402.912195
8402.81484936,8402.801988
8402.34376051,8402.349119
8402.44902751,8402.429999
8402.5318954,8402.548273
8402.32883352,8402.34763
8402.48968152,8402.508256
8402.78906163,8402.75637
8402.67699418,8402.702289
8402.71684708,8402.734428
8402.41310486,8402.409678
8402.6507824,8402.63991
8402.7002291,8402.709652
8402.61328664,8402.59978
8402.90972429,8402.911421
8402.93314035,8402.913111
8402.76193327,8402.75213
8403.05501119,8403.046911
8402.82478521,8402.861578
8402.81089521,8402.837763
8402.54971246,8402.548829
8402.50242064,8402.517992
8402.84038667,8402.860701
8402.8985263,8402.907727
8402.96936317,8402.990841
8402.44207956,8402.435586
8402.67469179,8402.645795
8402.56091258,8402.567387
8403.03177627,8403.040238
8402.76753227,8402.754345
8402.73804755,8402.735097
8402.60005418,8402.587933
8402.38903102,8402.405202
8402.34704018,8402.305648
8402.96614421,8402.990779
8402.33771219,8402.306066
8402.66239609,8402.702175
8403.02667061,8403.039771
8402.66587383,8402.642644
8402.98563321,8403.014689
8402.59394515,8402.589862
8402.92754135,8402.910746
8402.78346263,8402.753891
8402.33244208,8402.3045
8402.36103391,8402.377736
8402.82327772,8402.837074
8402.49433786,8402.471527
8402.68208315,8402.707637
8402.65551475,8402.635243
8403.01141261,8403.02396
8402.66853874,8402.678994
8402.51104052,8402.543399
8402.4956261,8402.507185
8402.55769362,8402.567304
8402.44529852,8402.43563
8402.41243039,8402.413095
8402.38614096,8402.407598
8402.32645348,8402.345513
8402.64873125,8402.638064
8402.88296519,8402.89001
8402.95925697,8402.964965
8402.44751411,8402.435947
8402.96359973,8402.988533
8402.9892754,8402.969879
8402.81191527,8402.832019
8402.43682614,8402.42665
8402.34919506,8402.351288
8402.96585934,8402.965324
8402.36612288,8402.383701
8402.4877188,8402.474999
8402.66564868,8402.679621
8402.8680382,8402.888716
8402.62599803,8402.59884
8402.80874033,8402.802322
8402.75988213,8402.752068
8402.67443301,8402.704238
8402.34923908,8402.312355
8402.66874721,8402.646516
8402.92736022,8402.916072
8402.99106776,8403.016264
8403.0683567,8403.061444
8402.5841475,8402.574688
8402.81240861,8402.832903
8402.72871956,8402.736285
8402.97334504,8402.969677
8402.71226814,8402.725636
8402.84326005,8402.863974
8402.54411346,8402.546045
8402.60903659,8402.590808
8402.66275861,8402.680372
8403.02939623,8403.038498
8402.48613366,8402.507377
8403.06718889,8403.06175
8402.65213135,8402.634946
8402.64985504,8402.670386
8402.97106874,8402.995649
8402.35137702,8402.3776
8403.08466036,8403.065269
8402.33941775,8402.311677
8402.32967244,8402.345573
8402.7322841,8402.731932
8402.77313127,8402.756774
8403.03957418,8403.048488
8402.90479977,8402.906979
8402.8792362,8402.893394
8402.70599467,8402.726129
8402.98294121,8402.998205
8402.44802414,8402.430627
8402.65139616,8402.674584
8402.46633454,8402.432097
8402.35781494,8402.377679
8403.07040785,8403.061806
8402.67037513,8402.706227
8402.70937807,8402.726823
8402.66060372,8402.640421
8402.8624392,8402.886706
8402.87160275,8402.88524
8402.32922312,8402.304436
8402.35772815,8402.314859
8402.93076031,8402.9108
8402.81800761,8402.835189
8402.49975572,8402.477982
8402.98750322,8403.019234
8402.64308823,8402.66955
8402.91599777,8402.910687
8402.49195782,8402.46932
8402.66410756,8402.674484
