Predicted Value,Expected Value
8402.50206402,8402.507302
8402.64952615,8402.669676
8402.33172358,8402.346561
8403.08093137,8403.068588
8402.66925724,8402.643001
8402.976564,8402.96976
8402.72855511,8402.735539
8402.33426807,8402.349391
8402.6878466,8402.710846
8402.96858496,8402.964756
8403.09177276,8403.062879
8402.3451812,8402.315292
8402.32561456,8402.347522
8402.34874574,8402.311204
8402.98622088,8402.970002
8402.52087854,8402.539245
8402.70853915,8402.728571
8402.36003054,8402.378985
8402.44869862,8402.427409
8402.44326406,8402.426679
8402.9754722,8402.990448
8402.41615938,8402.408778
8403.0649733,8403.060708
8402.522913,8402.54501
8402.5785485,8402.572087
8402.95671249,8402.962626
8402.55513244,8402.570693
8402.64534784,8402.637695
8402.76718669,8402.759708
8402.96208633,8402.992817
8403.04262869,8403.048015
8402.81468491,8402.801773
8402.34343161,8402.348188
8402.54920455,8402.566865
8402.73550306,8402.732003
8402.84564009,8402.866264
8402.37682754,8402.386632
8402.72090497,8402.732298
8402.81767872,8402.834566
8402.66416827,8402.637337
8402.700558,8402.710633
8402.5639504,8402.572953
8402.83817108,8402.859192
8402.37461194,8402.384575
8402.72955848,8402.73388
8402.79042993,8402.800097
8402.66139862,8402.67156
8402.75971768,8402.751085
8402.90768984,8402.905511
8402.96553045,8402.964888
8402.64569342,8402.634824
8402.83038421,8402.863693
8402.68919555,8402.705024
8402.52529303,8402.54741
8403.03364628,8403.045068
8402.87209609,8402.886898
8402.78600711,8402.757113
8402.98173977,8403.016753
8402.82800417,8402.861628
8402.65722032,8402.640061
8402.64263891,8402.634996
8402.8284274,8402.81009
8402.55802251,8402.568831
8402.79393377,8402.830617
8402.87142161,8402.889465
8402.68359655,8402.702853
8402.87531505,8402.886954
8403.0236161,8403.040243
8402.65433025,8402.640575
8402.67477859,8402.700848
8402.99165544,8402.97272
8402.4948312,8402.472403
8402.73144518,8402.734292
8402.82545968,8402.859362
8402.84920463,8402.862902
8402.72328501,8402.73457
8402.35714047,8402.380386
8402.4444596,8402.437873
8402.51275199,8402.515045
8402.37494084,8402.386297
8402.91700114,8402.909724
8402.52834755,8402.546797
8402.80890478,8402.802582
8403.09669728,8403.067695
8402.97852672,8402.990274
8402.48584879,8402.469743
8402.37512197,8402.38085
8402.33076424,8402.309138
8402.33272695,8402.345044
8402.72125055,8402.728129
8402.52274855,8402.544361
8402.85700465,8402.885563
8402.97451285,8402.967604
8402.69379118,8402.709471
8403.04652213,8403.045333
8402.72752402,8402.727647
8402.35003398,8402.348796
8402.95620246,8402.965121
8403.03226961,8403.041578
8402.60887214,8402.589787
8403.03464965,8403.043509
8403.02617727,8403.038448
8402.79698828,8402.830365
8402.81613169,8402.860081
8402.67597413,8402.708605
8402.74717073,8402.752947
8402.65988523,8402.676449
8402.96681869,8402.98859
8402.51326202,8402.511785
8402.81124079,8402.834429
8402.3576505,8402.377003
8402.97927293,8402.973034
8402.98056117,8402.995573
8402.53427544,8402.550949
8402.50309511,8402.514805
8402.76837119,8402.752268
8402.95382242,8402.962987
8402.96163701,8402.967305
8403.05517564,8403.047342
8402.42075501,8402.412972
8402.82260324,8402.839982
8402.65805924,8402.637697
8402.3283842,8402.306619
8402.99699565,8403.019041
8402.60054752,8402.591193
8402.81095592,8402.804468
8402.34138047,8402.346748
8402.77362461,8402.759859
8403.00159128,8403.023369
8403.08498926,8403.066496
8402.49245116,8402.470178
8402.36579398,8402.381997
8403.02821173,8403.043387
8402.71108364,8402.731265
8402.53767554,8402.545893
8402.50959374,8402.474285
8402.48340804,8402.508626
8402.98023228,8402.995028
8402.8090252,8402.832524
8402.35789259,8402.315249
8402.81632977,8402.840161
8402.55191348,8402.570633
8402.65246024,8402.635431
8402.66223164,8402.701598
8402.5206974,8402.543585
8403.02023269,8403.03967
8402.72533615,8402.735444
8402.56871048,8402.577802
8402.54005558,8402.548552
8402.5714361,8402.575136
8403.01717818,8403.040141
8402.50598518,8402.514078
8402.93397927,8402.910866
8402.50698855,8402.512015
8403.08617376,8403.060967
8402.91345328,8402.908
8403.08109582,8403.069295
8403.09093384,8403.064855
8402.4624411,8402.435816
8403.06802781,8403.060134
8402.72633952,8402.733809
8402.38935992,8402.40765
8402.34510945,8402.343901
8402.5658371,8402.57245
8402.91972676,8402.907394
8402.68513767,8402.707216
8402.34552678,8402.31112
8402.52783752,8402.550781
8403.0083581,8403.024283
8402.45157199,8402.433728
8402.99734123,8403.016077
8402.35797939,8402.378448
8402.82717115,8402.834494
8402.80359065,8402.830781
8402.66870319,8402.679337
8402.67791075,8402.645888
8402.69241451,8402.705091
8402.36646846,8402.379116
8402.48262983,8402.469679
8402.5184117,8402.477204
8402.82344216,8402.837382
8402.97180392,8402.964823
8402.61174552,8402.595148
8402.70970697,8402.728353
8402.9859621,8403.015408
8402.66004968,8402.67682
8402.80818628,8402.834659
8402.82615109,8402.840768
